DATE,VALUE
1953-01-01,195.2
1953-04-01,196.2
1953-07-01,199.0
1953-10-01,198.6
1954-01-01,198.2
1954-04-01,199.4
1954-07-01,200.4
1954-10-01,201.8
1955-01-01,201.7
1955-04-01,202.7
1955-07-01,202.0
1955-10-01,202.0
1956-01-01,201.3
1956-04-01,197.7
1956-07-01,196.1
1956-10-01,195.7
1957-01-01,198.2
1957-04-01,194.1
1957-07-01,195.6
1957-10-01,193.6
1958-01-01,194.0
1958-04-01,197.0
1958-07-01,196.1
1958-10-01,200.3
1959-01-01,203.0
1959-04-01,206.1
1959-07-01,207.6
1959-10-01,208.7
1960-01-01,208.1
1960-04-01,206.3
1960-07-01,206.2
1960-10-01,206.0
1961-01-01,206.0
1961-04-01,207.5
1961-07-01,210.7
1961-10-01,211.3
1962-01-01,212.6
1962-04-01,214.2
1962-07-01,214.3
1962-10-01,215.8
1963-01-01,216.6
1963-04-01,218.1
1963-07-01,217.3
1963-10-01,216.7
1964-01-01,217.6
1964-04-01,219.0
1964-07-01,220.4
1964-10-01,219.2
1965-01-01,218.1
1965-04-01,218.5
1965-07-01,215.2
1965-10-01,216.6
1966-01-01,216.2
1966-04-01,215.4
1966-07-01,214.5
1966-10-01,214.6
1967-01-01,212.5
1967-04-01,208.6
1967-07-01,214.3
1967-10-01,217.8
1968-01-01,222.9
1968-04-01,224.4
1968-07-01,226.1
1968-10-01,226.2
1969-01-01,223.9
1969-04-01,220.1
1969-07-01,220.8
1969-10-01,219.7
1970-01-01,221.8
1970-04-01,223.1
1970-07-01,224.6
1970-10-01,227.5
1971-01-01,224.7
1971-04-01,234.5
1971-07-01,240.1
1971-10-01,245.4
1972-01-01,247.7
1972-04-01,248.7
1972-07-01,253.1
1972-10-01,260.1
1973-01-01,262.0
1973-04-01,263.7
1973-07-01,260.1
1973-10-01,259.6
1974-01-01,259.4
1974-04-01,259.9
1974-07-01,262.6
1974-10-01,269.3
1975-01-01,284.7
1975-04-01,307.2
1975-07-01,327.9
1975-10-01,347.5
1976-01-01,365.0
1976-04-01,381.3
1976-07-01,396.4
1976-10-01,407.5
1977-01-01,420.3
1977-04-01,426.7
1977-07-01,443.2
1977-10-01,459.2
1978-01-01,474.5
1978-04-01,484.4
1978-07-01,493.3
1978-10-01,506.5
1979-01-01,509.6
1979-04-01,523.9
1979-07-01,528.4
1979-10-01,538.5
1980-01-01,550.1
1980-04-01,565.6
1980-07-01,594.4
1980-10-01,614.5
1981-01-01,643.1
1981-04-01,659.3
1981-07-01,670.4
1981-10-01,692.8
1982-01-01,721.8
1982-04-01,749.0
1982-07-01,796.6
1982-10-01,846.3
1983-01-01,894.3
1983-04-01,957.8
1983-07-01,988.8
1983-10-01,1019.4
1984-01-01,1061.4
1984-04-01,1110.6
1984-07-01,1161.2
1984-10-01,1208.0
1985-01-01,1243.1
1985-04-01,1300.4
1985-07-01,1346.0
1985-10-01,1412.0
1986-01-01,1461.8
1986-04-01,1510.9
1986-07-01,1562.3
1986-10-01,1596.8
1987-01-01,1628.7
1987-04-01,1667.1
1987-07-01,1689.6
1987-10-01,1726.9
1988-01-01,1765.6
1988-04-01,1796.3
1988-07-01,1829.7
1988-10-01,1855.4
1989-01-01,1887.9
1989-04-01,1919.4
1989-07-01,1966.2
1989-10-01,2013.7
1990-01-01,2098.3
1990-04-01,2152.6
1990-07-01,2215.5
1990-10-01,2286.7
1991-01-01,2342.7
1991-04-01,2409.0
1991-07-01,2498.3
1991-10-01,2561.5
1992-01-01,2645.2
1992-04-01,2723.6
1992-07-01,2774.9
1992-10-01,2839.4
1993-01-01,2874.2
1993-04-01,2949.9
1993-07-01,2992.9
1993-10-01,3048.7
1994-01-01,3070.6
1994-04-01,3101.2
1994-07-01,3137.5
1994-10-01,3171.2
1995-01-01,3211.0
1995-04-01,3260.8
1995-07-01,3289.0
1995-10-01,3299.6
1996-01-01,3350.6
1996-04-01,3365.9
1996-07-01,3394.5
1996-10-01,3417.8
1997-01-01,3417.1
1997-04-01,3381.5
1997-07-01,3396.5
1997-10-01,3400.9
1998-01-01,3395.5
1998-04-01,3350.8
1998-07-01,3308.0
1998-10-01,3341.8
