DATE,VALUE
1901-06-30,588
1902-06-30,562
1903-06-30,562
1904-06-30,541
1905-06-30,544
1906-06-30,595
1907-06-30,666
1908-06-30,602
1909-06-30,604
1910-06-30,676
1911-06-30,702
1912-06-30,693
1913-06-30,714
1914-06-30,725
1915-06-30,683
1916-06-30,761
1917-06-30,1101
1918-06-30,3645
1919-06-30,5130
1920-06-30,6649
1921-06-30,5571
1922-06-30,4026
1923-06-30,3853
1924-06-30,3871
1925-06-30,3641
1926-06-30,3795
1927-06-30,4013
1928-06-30,3900
1929-06-30,3862
1930-06-30,4058
1931-06-30,3116
1932-06-30,1924
1933-06-30,1997
1934-06-30,2955
1935-06-30,3609
1936-06-30,3923
1937-06-30,5387
1938-06-30,6751
1939-06-30,6295
1940-06-30,6548
1941-06-30,8712
1942-06-30,14634
1943-06-30,24001
1944-06-30,43747
1945-06-30,45159
1946-06-30,39296
1947-06-30,38514
1948-06-30,41560
1949-06-30,39415
1950-06-30,39443
1951-06-30,51616
1952-06-30,66167
1953-06-30,69608
1954-06-30,69701
1955-06-30,65451
1956-06-30,74587
1957-06-30,79990
1958-06-30,79636
1959-06-30,79249
1960-06-30,92492
1961-06-30,94388
1962-06-30,99676
1963-06-30,106560
1964-06-30,112613
1965-06-30,116817
1966-06-30,130835
1967-06-30,148822
1968-06-30,152973
1969-06-30,186882
1970-06-30,192807
1971-06-30,187139
1972-06-30,207309
1973-06-30,230799
1974-06-30,263224
1975-06-30,279090
1976-06-30,298060
1977-09-30,355559
1978-09-30,399561
1979-09-30,463302
1980-09-30,517112
1981-09-30,599272
1982-09-30,617766
1983-09-30,600562
1984-09-30,666438
1985-09-30,734037
1986-09-30,769155
1987-09-30,854287
1988-09-30,909238
1989-09-30,991104
1990-09-30,1031958
1991-09-30,1054988
1992-09-30,1091208
1993-09-30,1154334
1994-09-30,1258566
1995-09-30,1351790
1996-09-30,1453053
1997-09-30,1579232
1998-09-30,1721728
1999-09-30,1827452
2000-09-30,2025191
2001-09-30,1991082
2002-09-30,1853136
2003-09-30,1782314
2004-09-30,1880114
2005-09-30,2153611
2006-09-30,2406869
2007-09-30,2567985
2008-09-30,2523991
2009-09-30,2104989
2010-09-30,2162706
2011-09-30,2303466
2012-09-30,2449988
2013-09-30,2775103
2014-09-30,3021487
2015-09-30,3249886
2016-09-30,3266688
