DATE,VALUE
1930-06-30,0.75000
1931-06-30,-0.54481
1932-06-30,-3.99270
1933-06-30,-4.46312
1934-06-30,-5.78387
1935-06-30,-3.97589
1936-06-30,-5.40704
1937-06-30,-2.46682
1938-06-30,-0.09867
1939-06-30,-3.14823
1940-06-30,-2.97352
1941-06-30,-4.25215
1942-06-30,-13.88152
1943-06-30,-29.55255
1944-06-30,-22.24369
1945-06-30,-21.00398
1946-06-30,-6.98947
1947-06-30,1.68188
1948-06-30,4.49543
1949-06-30,0.20954
1950-06-30,-1.11792
1951-06-30,1.86378
1952-06-30,-0.42490
1953-06-30,-1.69752
1954-06-30,-0.29765
1955-06-30,-0.73538
1956-06-30,0.89909
1957-06-30,0.73503
1958-06-30,-0.58381
1959-06-30,-2.54134
1960-06-30,0.05625
1961-06-30,-0.60902
1962-06-30,-1.21758
1963-06-30,-0.76796
1964-06-30,-0.89229
1965-06-30,-0.19854
1966-06-30,-0.47295
1967-06-30,-1.03114
1968-06-30,-2.79784
1969-06-30,0.33004
1970-06-30,-0.27090
1971-06-30,-2.05780
1972-06-30,-1.91661
1973-06-30,-1.09941
1974-06-30,-0.41280
1975-06-30,-3.30572
1976-06-30,-4.11842
1977-09-30,-2.64539
1978-09-30,-2.59788
1979-09-30,-1.58467
1980-09-30,-2.63980
1981-09-30,-2.51619
1982-09-30,-3.86182
1983-09-30,-5.86829
1984-09-30,-4.68951
1985-09-30,-4.97162
1986-09-30,-4.87703
1987-09-30,-3.13118
1988-09-30,-3.01018
1989-09-30,-2.74038
1990-09-30,-3.73713
1991-09-30,-4.40644
1992-09-30,-4.51180
1993-09-30,-3.75357
1994-09-30,-2.82289
1995-09-30,-2.16199
1996-09-30,-1.34654
1997-09-30,-0.25797
1998-09-30,0.77355
1999-09-30,1.32075
2000-09-30,2.32791
2001-09-30,1.21383
2002-09-30,-1.45039
2003-09-30,-3.33191
2004-09-30,-3.41418
2005-09-30,-2.46992
2006-09-30,-1.81357
2007-09-30,-1.12199
2008-09-30,-3.10833
2009-09-30,-9.80040
2010-09-30,-8.74665
2011-09-30,-8.45031
2012-09-30,-6.78199
2013-09-30,-4.11892
2014-09-30,-2.82030
2015-09-30,-2.46248
