DATE,VALUE
1939-06-30,41.4
1940-06-30,42.8
1941-06-30,48.2
1942-06-30,67.8
1943-06-30,127.8
1944-06-30,184.8
1945-06-30,235.2
1946-06-30,241.9
1947-06-30,224.3
1948-06-30,216.3
1949-06-30,214.3
1950-06-30,219.0
1951-06-30,214.3
1952-06-30,214.8
1953-06-30,218.4
1954-06-30,224.5
1955-06-30,226.6
1956-06-30,222.2
1957-06-30,219.3
1958-06-30,226.3
1959-06-30,234.7
1960-06-30,236.8
1961-06-30,238.4
1962-06-30,248.0
1963-06-30,254.0
1964-06-30,256.8
1965-06-30,260.8
1966-06-30,263.7
1967-06-30,266.6
1968-06-30,289.5
1969-06-30,278.1
1970-06-30,283.2
1971-06-30,303.0
1972-06-30,322.4
1973-06-30,340.9
1974-06-30,343.7
1975-06-30,394.7
1976-06-30,477.4
1977-09-30,549.1
1978-09-30,607.1
1979-09-30,640.3
1980-09-30,711.9
1981-09-30,789.4
1982-09-30,924.6
1983-09-30,1137.3
1984-09-30,1307.0
1985-09-30,1507.3
1986-09-30,1740.6
1987-09-30,1889.8
1988-09-30,2051.6
1989-09-30,2190.7
1990-09-30,2411.6
1991-09-30,2689.0
1992-09-30,2999.7
1993-09-30,3248.4
1994-09-30,3433.1
1995-09-30,3604.4
1996-09-30,3734.1
1997-09-30,3772.3
1998-09-30,3721.1
1999-09-30,3632.4
2000-09-30,3409.8
2001-09-30,3319.6
2002-09-30,3540.4
2003-09-30,3913.4
2004-09-30,4295.5
2005-09-30,4592.2
2006-09-30,4829.0
2007-09-30,5035.1
2008-09-30,5803.1
2009-09-30,7544.7
2010-09-30,9018.9
2011-09-30,10128.2
2012-09-30,11281.1
2013-09-30,11982.7
2014-09-30,12779.9
2015-09-30,13116.7
