DATE,VALUE
1940-01-01,0.87366
1941-01-01,0.72875
1942-01-01,0.63373
1943-01-01,0.75283
1944-01-01,0.98798
1945-01-01,1.36372
1946-01-01,1.80465
1947-01-01,1.68227
1948-01-01,1.57969
1949-01-01,1.65799
1950-01-01,1.60293
1951-01-01,1.34322
1952-01-01,1.27849
1953-01-01,1.32307
1954-01-01,1.23012
1955-01-01,1.13796
1956-01-01,1.12842
1957-01-01,1.12740
1958-01-01,1.16266
1959-01-01,1.10278
1960-01-01,1.27867
1961-01-01,1.19226
1962-01-01,1.13849
1963-01-01,1.21203
1964-01-01,1.19554
1965-01-01,1.15517
1966-01-01,1.15166
1967-01-01,1.19160
1968-01-01,1.17666
1969-01-01,1.24512
1970-01-01,1.33656
1971-01-01,1.27085
1972-01-01,1.20696
1973-01-01,1.21449
1974-01-01,1.38488
1975-01-01,1.37628
1976-01-01,1.42347
1977-01-01,1.43341
1978-01-01,1.50463
1979-01-01,1.61973
1980-01-01,1.83521
1981-01-01,2.14158
1982-01-01,2.54206
1983-01-01,2.46854
1984-01-01,2.74957
1985-01-01,2.97877
1986-01-01,2.96320
1987-01-01,2.84610
1988-01-01,2.89005
1989-01-01,2.98674
1990-01-01,3.08293
1991-01-01,3.14947
1992-01-01,3.04840
1993-01-01,2.88882
1994-01-01,2.77654
1995-01-01,3.02885
1996-01-01,2.97589
1997-01-01,2.83422
1998-01-01,2.65280
1999-01-01,2.37827
2000-01-01,2.16775
2001-01-01,1.94098
2002-01-01,1.55727
2003-01-01,1.32983
2004-01-01,1.30547
2005-01-01,1.40515
2006-01-01,1.63543
2007-01-01,1.63776
2008-01-01,1.71726
2009-01-01,1.29625
2010-01-01,1.31107
2011-01-01,1.48191
2012-01-01,1.36431
2013-01-01,1.32334
2014-01-01,1.31636
2015-01-01,1.23738
2016-01-01,1.29660
