DATE,VALUE
1901-06-30,525
1902-06-30,485
1903-06-30,517
1904-06-30,584
1905-06-30,567
1906-06-30,570
1907-06-30,579
1908-06-30,659
1909-06-30,694
1910-06-30,694
1911-06-30,691
1912-06-30,690
1913-06-30,715
1914-06-30,726
1915-06-30,746
1916-06-30,713
1917-06-30,1954
1918-06-30,12677
1919-06-30,18493
1920-06-30,6358
1921-06-30,5062
1922-06-30,3289
1923-06-30,3140
1924-06-30,2908
1925-06-30,2924
1926-06-30,2930
1927-06-30,2857
1928-06-30,2961
1929-06-30,3127
1930-06-30,3320
1931-06-30,3577
1932-06-30,4659
1933-06-30,4598
1934-06-30,6541
1935-06-30,6412
1936-06-30,8228
1937-06-30,7580
1938-06-30,6840
1939-06-30,9141
1940-06-30,9468
1941-06-30,13653
1942-06-30,35137
1943-06-30,78555
1944-06-30,91304
1945-06-30,92712
1946-06-30,55232
1947-06-30,34496
1948-06-30,29764
1949-06-30,38835
1950-06-30,42562
1951-06-30,45514
1952-06-30,67686
1953-06-30,76101
1954-06-30,70855
1955-06-30,68444
1956-06-30,70640
1957-06-30,76578
1958-06-30,82405
1959-06-30,92098
1960-06-30,92191
1961-06-30,97723
1962-06-30,106821
1963-06-30,111316
1964-06-30,118528
1965-06-30,118228
1966-06-30,134532
1967-06-30,157464
1968-06-30,178134
1969-06-30,183640
1970-06-30,195649
1971-06-30,210172
1972-06-30,230681
1973-06-30,245707
1974-06-30,269359
1975-06-30,332332
1976-06-30,371792
1977-09-30,409218
1978-09-30,458746
1979-09-30,504028
1980-09-30,590941
1981-09-30,678241
1982-09-30,745743
1983-09-30,808364
1984-09-30,851805
1985-09-30,946344
1986-09-30,990382
1987-09-30,1004017
1988-09-30,1064416
1989-09-30,1143743
1990-09-30,1252993
1991-09-30,1324226
1992-09-30,1381529
1993-09-30,1409386
1994-09-30,1461752
1995-09-30,1515742
1996-09-30,1560484
1997-09-30,1601116
1998-09-30,1652458
1999-09-30,1701842
2000-09-30,1788950
2001-09-30,1862846
2002-09-30,2010894
2003-09-30,2159899
2004-09-30,2292841
2005-09-30,2471957
2006-09-30,2655050
2007-09-30,2728686
2008-09-30,2982544
2009-09-30,3517677
2010-09-30,3457079
2011-09-30,3603056
2012-09-30,3536951
2013-09-30,3454647
2014-09-30,3506114
2015-09-30,3688292
2016-09-30,3854100
