DATE,VALUE
1939-01-01,44.27807
1940-01-01,41.59378
1941-01-01,37.24884
1942-01-01,40.84337
1943-01-01,62.92467
1944-01-01,82.27961
1945-01-01,103.06748
1946-01-01,106.18964
1947-01-01,89.75590
1948-01-01,78.71179
1949-01-01,78.55572
1950-01-01,72.95137
1951-01-01,61.70458
1952-01-01,58.41719
1953-01-01,56.04311
1954-01-01,57.40220
1955-01-01,53.16753
1956-01-01,49.36681
1957-01-01,46.17814
1958-01-01,46.95021
1959-01-01,44.91866
1960-01-01,43.58550
1961-01-01,42.32203
1962-01-01,40.98496
1963-01-01,39.77451
1964-01-01,37.44532
1965-01-01,35.06790
1966-01-01,32.35583
1967-01-01,30.93884
1968-01-01,30.71618
1969-01-01,27.26738
1970-01-01,26.32215
1971-01-01,25.94622
1972-01-01,25.14036
1973-01-01,23.86419
1974-01-01,22.19137
1975-01-01,23.37024
1976-01-01,25.42608
1977-01-01,26.32311
1978-01-01,25.76169
1979-01-01,24.32658
1980-01-01,24.86987
1981-01-01,24.58424
1982-01-01,27.64126
1983-01-01,31.26082
1984-01-01,32.34588
1985-01-01,34.67688
1986-01-01,37.91992
1987-01-01,38.80333
1988-01-01,39.05875
1989-01-01,38.72068
1990-01-01,40.33046
1991-01-01,43.55361
1992-01-01,45.87188
1993-01-01,47.22404
1994-01-01,46.97214
1995-01-01,47.02966
1996-01-01,46.09886
1997-01-01,43.82064
1998-01-01,40.93980
1999-01-01,37.60015
2000-01-01,33.15378
2001-01-01,31.25271
2002-01-01,32.25142
2003-01-01,33.99793
2004-01-01,34.99418
2005-01-01,35.07183
2006-01-01,34.85158
2007-01-01,34.77855
2008-01-01,39.42698
2009-01-01,52.32580
2010-01-01,60.26904
2011-01-01,65.26785
2012-01-01,69.82910
2013-01-01,71.78923
2014-01-01,73.47684
2015-01-01,72.72269
