DATE,VALUE
1939-01-01,51.55080
1940-01-01,49.27114
1941-01-01,44.43586
1942-01-01,47.71084
1943-01-01,70.21172
1944-01-01,90.87266
1945-01-01,113.97897
1946-01-01,118.96400
1947-01-01,102.88115
1948-01-01,91.70306
1949-01-01,92.59531
1950-01-01,85.57628
1951-01-01,73.50993
1952-01-01,70.46505
1953-01-01,68.25763
1954-01-01,69.24060
1955-01-01,64.38292
1956-01-01,60.58654
1957-01-01,57.33839
1958-01-01,58.02905
1959-01-01,55.02392
1960-01-01,53.46954
1961-01-01,51.94390
1962-01-01,50.05784
1963-01-01,48.59067
1964-01-01,46.09216
1965-01-01,43.33737
1966-01-01,40.30675
1967-01-01,39.50331
1968-01-01,39.11936
1969-01-01,35.86626
1970-01-01,35.40292
1971-01-01,34.95462
1972-01-01,33.99095
1973-01-01,32.64263
1974-01-01,31.24354
1975-01-01,32.08597
1976-01-01,33.50021
1977-01-01,33.86385
1978-01-01,32.95426
1979-01-01,31.51476
1980-01-01,31.75546
1981-01-01,30.98100
1982-01-01,34.00000
1983-01-01,37.70375
1984-01-01,38.72101
1985-01-01,41.81103
1986-01-01,46.19624
1987-01-01,48.17051
1988-01-01,49.52024
1989-01-01,50.68844
1990-01-01,53.62064
1991-01-01,58.27988
1992-01-01,61.19615
1993-01-01,63.25323
1994-01-01,63.53026
1995-01-01,64.20323
1996-01-01,63.96756
1997-01-01,62.37091
1998-01-01,60.27153
1999-01-01,58.02435
2000-01-01,54.72834
2001-01-01,54.32130
2002-01-01,56.46459
2003-01-01,58.72797
2004-01-01,59.91658
2005-01-01,60.37484
2006-01-01,60.99496
2007-01-01,61.82447
2008-01-01,67.84681
2009-01-01,82.36457
2010-01-01,90.40656
2011-01-01,95.14303
2012-01-01,99.35377
2013-01-01,100.16715
2014-01-01,102.30781
2015-01-01,100.46295
