Year,Receipts,Outlays,Surplus
1901,588.00,525.00,63.00
1902,562.00,485.00,77.00
1903,562.00,517.00,45.00
1904,541.00,584.00,-43.00
1905,544.00,567.00,-23.00
1906,595.00,570.00,25.00
1907,666.00,579.00,87.00
1908,602.00,659.00,-57.00
1909,604.00,694.00,-89.00
1910,676.00,694.00,-18.00
1911,702.00,691.00,11.00
1912,693.00,690.00,3.00
1913,714.00,715.00,-0.50
1914,725.00,726.00,-0.50
1915,683.00,746.00,-63.00
1916,761.00,713.00,48.00
1917,1101.00,1954.00,-853.00
1918,3645.00,12677.00,-9032.00
1919,5130.00,18493.00,-13363.00
1920,6649.00,6358.00,291.00
1921,5571.00,5062.00,509.00
1922,4026.00,3289.00,736.00
1923,3853.00,3140.00,713.00
1924,3871.00,2908.00,963.00
1925,3641.00,2924.00,717.00
1926,3795.00,2930.00,865.00
1927,4013.00,2857.00,1155.00
1928,3900.00,2961.00,939.00
1929,3862.00,3127.00,734.00
1930,4058.00,3320.00,738.00
1931,3116.00,3577.00,-462.00
1932,1924.00,4659.00,-2735.00
1933,1997.00,4598.00,-2602.00
1934,2955.00,6541.00,-3586.00
1935,3609.00,6412.00,-2803.00
1936,3923.00,8228.00,-4304.00
1937,5387.00,7580.00,-2193.00
1938,6751.00,6840.00,-89.00
1939,6295.00,9141.00,-2846.00
1940,6548.00,9468.00,-2920.00
1941,8712.00,13653.00,-4941.00
1942,14634.00,35137.00,-20503.00
1943,24001.00,78555.00,-54554.00
1944,43747.00,91304.00,-47557.00
1945,45159.00,92712.00,-47553.00
1946,39296.00,55232.00,-15936.00
1947,38514.00,34496.00,4018.00
1948,41560.00,29764.00,11796.00
1949,39415.00,38835.00,580.00
1950,39443.00,42562.00,-3119.00
1951,51616.00,45514.00,6102.00
1952,66167.00,67686.00,-1519.00
1953,69608.00,76101.00,-6493.00
1954,69701.00,70855.00,-1154.00
1955,65451.00,68444.00,-2993.00
1956,74587.00,70640.00,3947.00
1957,79990.00,76578.00,3412.00
1958,79636.00,82405.00,-2769.00
1959,79249.00,92098.00,-12849.00
1960,92492.00,92191.00,301.00
1961,94388.00,97723.00,-3335.00
1962,99676.00,106821.00,-7146.00
1963,106560.00,111316.00,-4756.00
1964,112613.00,118528.00,-5915.00
1965,116817.00,118228.00,-1411.00
1966,130835.00,134532.00,-3698.00
1967,148822.00,157464.00,-8643.00
1968,152973.00,178134.00,-25161.00
1969,186882.00,183640.00,3242.00
1970,192807.00,195649.00,-2842.00
1971,187139.00,210172.00,-23033.00
1972,207309.00,230681.00,-23373.00
1973,230799.00,245707.00,-14908.00
1974,263224.00,269359.00,-6135.00
1975,279090.00,332332.00,-53242.00
1976,298060.00,371792.00,-73732.00
1977,355559.00,409218.00,-53659.00
1978,399561.00,458746.00,-59185.00
1979,463302.00,504028.00,-40726.00
1980,517112.00,590941.00,-73830.00
1981,599272.00,678241.00,-78968.00
1982,617766.00,745743.00,-127977.00
1983,600562.00,808364.00,-207802.00
1984,666438.00,851805.00,-185367.00
1985,734037.00,946344.00,-212308.00
1986,769155.00,990382.00,-221227.00
1987,854287.00,1004017.00,-149730.00
1988,909238.00,1064416.00,-155178.00
1989,991104.00,1143743.00,-152639.00
1990,1031958.00,1252993.00,-221036.00
1991,1054988.00,1324226.00,-269238.00
1992,1091208.00,1381529.00,-290321.00
1993,1154334.00,1409386.00,-255051.00
1994,1258566.00,1461752.00,-203186.00
1995,1351790.00,1515742.00,-163952.00
1996,1453053.00,1560484.00,-107431.00
1997,1579232.00,1601116.00,-21884.00
1998,1721728.00,1652458.00,69270.00
1999,1827452.00,1701842.00,125610.00
2000,2025191.00,1788950.00,236241.00
2001,1991082.00,1862846.00,128236.00
2002,1853136.00,2010894.00,-157758.00
2003,1782314.00,2159899.00,-377585.00
2004,1880114.00,2292841.00,-412727.00
2005,2153611.00,2471957.00,-318346.00
2006,2406869.00,2655050.00,-248181.00
2007,2567985.00,2728686.00,-160701.00
2008,2523991.00,2982544.00,-458553.00
2009,2104989.00,3517677.00,-1412688.00
2010,2162706.00,3457079.00,-1294373.00
2011,2303466.00,3603056.00,-1299590.00
2012,2449988.00,3536951.00,-1086963.00
2013,2775103.00,3454647.00,-679544.00
2014,3021487.00,3506114.00,-484627.00
2015,3249886.00,3688292.00,-438406.00
