Year,GDP,Receipts,Outlays,Surplus
1930,98.4,4.1,3.4,0.8
1931,84.8,3.7,4.2,-0.5
1932,68.5,2.8,6.8,-4.0
1933,58.3,3.4,7.9,-4.5
1934,62.0,4.8,10.6,-5.8
1935,70.5,5.1,9.1,-4.0
1936,79.6,4.9,10.3,-5.4
1937,88.9,6.1,8.5,-2.5
1938,90.2,7.5,7.6,-0.1
1939,90.4,7.0,10.1,-3.1
1940,98.2,6.7,9.6,-3.0
1941,116.2,7.5,11.7,-4.3
1942,147.7,9.9,23.8,-13.9
1943,184.6,13.0,42.6,-29.6
1944,213.8,20.5,42.7,-22.2
1945,226.4,19.9,41.0,-21.0
1946,228.0,17.2,24.2,-7.0
1947,238.9,16.1,14.4,1.7
1948,262.4,15.8,11.3,4.5
1949,276.8,14.2,14.0,0.2
1950,279.0,14.1,15.3,-1.1
1951,327.4,15.8,13.9,1.9
1952,357.5,18.5,18.9,-0.4
1953,382.5,18.2,19.9,-1.7
1954,387.7,18.0,18.3,-0.3
1955,407.0,16.1,16.8,-0.7
1956,439.0,17.0,16.1,0.9
1957,464.2,17.2,16.5,0.7
1958,474.3,16.8,17.4,-0.6
1959,505.6,15.7,18.2,-2.5
1960,535.1,17.3,17.2,0.1
1961,547.6,17.2,17.8,-0.6
1962,586.9,17.0,18.2,-1.2
1963,619.3,17.2,18.0,-0.8
1964,662.9,17.0,17.9,-0.9
1965,710.7,16.4,16.6,-0.2
1966,781.9,16.7,17.2,-0.5
1967,838.2,17.8,18.8,-1.0
1968,899.3,17.0,19.8,-2.8
1969,982.3,19.0,18.7,0.3
1970,1049.1,18.4,18.6,-0.3
1971,1119.3,16.7,18.8,-2.1
1972,1219.5,17.0,18.9,-1.9
1973,1356.0,17.0,18.1,-1.1
1974,1486.2,17.7,18.1,-0.4
1975,1610.6,17.3,20.6,-3.3
1976,1790.3,16.6,20.8,-4.1
1977,2028.4,17.5,20.2,-2.6
1978,2278.2,17.5,20.1,-2.6
1979,2570.0,18.0,19.6,-1.6
1980,2796.8,18.5,21.1,-2.6
1981,3138.4,19.1,21.6,-2.5
1982,3313.9,18.6,22.5,-3.9
1983,3541.1,17.0,22.8,-5.9
1984,3952.8,16.9,21.5,-4.7
1985,4270.4,17.2,22.2,-5.0
1986,4536.1,17.0,21.8,-4.9
1987,4781.9,17.9,21.0,-3.1
1988,5155.1,17.6,20.6,-3.0
1989,5570.0,17.8,20.5,-2.7
1990,5914.6,17.4,21.2,-3.7
1991,6110.1,17.3,21.7,-4.4
1992,6434.7,17.0,21.5,-4.5
1993,6794.9,17.0,20.7,-3.8
1994,7197.8,17.5,20.3,-2.8
1995,7583.4,17.8,20.0,-2.2
1996,7978.3,18.2,19.6,-1.3
1997,8483.2,18.6,18.9,-0.3
1998,8954.8,19.2,18.5,0.8
1999,9510.5,19.2,17.9,1.3
2000,10148.2,20.0,17.6,2.3
2001,10564.6,18.8,17.6,1.2
2002,10876.9,17.0,18.5,-1.5
2003,11332.4,15.7,19.1,-3.3
2004,12088.6,15.6,19.0,-3.4
2005,12888.9,16.7,19.2,-2.5
2006,13684.7,17.6,19.4,-1.8
2007,14322.9,17.9,19.1,-1.1
2008,14752.4,17.1,20.2,-3.1
2009,14414.6,14.6,24.4,-9.8
2010,14798.5,14.6,23.4,-8.7
2011,15379.2,15.0,23.4,-8.5
2012,16027.2,15.3,22.1,-6.8
2013,16498.1,16.8,20.9,-4.1
2014,17183.5,17.6,20.4,-2.8
2015,17803.4,18.3,20.7,-2.5
