Year,Receipts,Outlays,Surplus,Receipts_2009,Outlays_2009,Surplus_2009,deflator,receipts_pct,outlays_pct,surplus_pct
1940,6.50,9.50,-2.90,94.00,135.80,-41.90,0.0697,6.70,9.60,-3.00
1941,8.70,13.70,-4.90,113.30,177.50,-64.30,0.0769,7.50,11.70,-4.30
1942,14.60,35.10,-20.50,167.80,402.90,-235.10,0.0872,9.90,23.80,-13.90
1943,24.00,78.60,-54.60,249.00,814.90,-565.90,0.0964,13.00,42.60,-29.60
1944,43.70,91.30,-47.60,493.20,1029.40,-536.20,0.0887,20.50,42.70,-22.20
1945,45.20,92.70,-47.60,541.50,1111.70,-570.20,0.0834,19.90,41.00,-21.00
1946,39.30,55.20,-15.90,466.70,656.00,-189.30,0.0842,17.20,24.20,-7.00
1947,38.50,34.50,4.00,402.90,360.80,42.00,0.0956,16.10,14.40,1.70
1948,41.60,29.80,11.80,418.10,299.40,118.70,0.0994,15.80,11.30,4.50
1949,39.40,38.80,0.60,411.40,405.40,6.10,0.0958,14.20,14.00,0.20
1950,39.40,42.60,-3.10,392.50,423.50,-31.00,0.1005,14.10,15.30,-1.10
1951,51.60,45.50,6.10,511.60,451.10,60.50,0.1009,15.80,13.90,1.90
1952,66.20,67.70,-1.50,657.70,672.80,-15.10,0.1006,18.50,18.90,-0.40
1953,69.60,76.10,-6.50,644.50,704.60,-60.10,0.1080,18.20,19.90,-1.70
1954,69.70,70.90,-1.20,626.80,637.20,-10.40,0.1112,18.00,18.30,-0.30
1955,65.50,68.40,-3.00,568.60,594.60,-26.00,0.1151,16.10,16.80,-0.70
1956,74.60,70.60,3.90,620.50,587.70,32.80,0.1202,17.00,16.10,0.90
1957,80.00,76.60,3.40,634.30,607.30,27.10,0.1261,17.20,16.50,0.70
1958,79.60,82.40,-2.80,596.50,617.30,-20.70,0.1335,16.80,17.40,-0.60
1959,79.20,92.10,-12.80,569.70,662.10,-92.40,0.1391,15.70,18.20,-2.50
1960,92.50,92.20,0.30,655.50,653.40,2.10,0.1411,17.30,17.20,0.10
1961,94.40,97.70,-3.30,654.10,677.20,-23.10,0.1443,17.20,17.80,-0.60
1962,99.70,106.80,-7.10,689.80,739.20,-49.50,0.1445,17.00,18.20,-1.20
1963,106.60,111.30,-4.80,707.10,738.70,-31.60,0.1507,17.20,18.00,-0.80
1964,112.60,118.50,-5.90,735.60,774.20,-38.60,0.1531,17.00,17.90,-0.90
1965,116.80,118.20,-1.40,752.20,761.30,-9.10,0.1553,16.40,16.60,-0.20
1966,130.80,134.50,-3.70,819.80,842.90,-23.20,0.1596,16.70,17.20,-0.50
1967,148.80,157.50,-8.60,911.90,964.90,-53.00,0.1632,17.80,18.80,-1.00
1968,153.00,178.10,-25.20,904.60,1053.40,-148.80,0.1691,17.00,19.80,-2.80
1969,186.90,183.60,3.20,1039.40,1021.40,18.00,0.1798,19.00,18.70,0.30
1970,192.80,195.60,-2.80,1015.30,1030.30,-15.00,0.1899,18.40,18.60,-0.30
1971,187.10,210.20,-23.00,921.90,1035.30,-113.50,0.2030,16.70,18.80,-2.10
1972,207.30,230.70,-23.40,957.50,1065.50,-108.00,0.2165,17.00,18.90,-1.90
1973,230.80,245.70,-14.90,1018.50,1084.30,-65.80,0.2266,17.00,18.10,-1.10
