Year,Individual Income Tax,Corporate Income Tax,Social Insurance and Retirement,Excise,Other,Total
1934,420.00,364.00,30.00,1354.00,788.00,2955.00
1935,527.00,529.00,31.00,1439.00,1084.00,3609.00
1936,674.00,719.00,52.00,1631.00,847.00,3923.00
1937,1092.00,1038.00,580.00,1876.00,801.00,5387.00
1938,1286.00,1287.00,1541.00,1863.00,773.00,6751.00
1939,1029.00,1127.00,1593.00,1871.00,675.00,6295.00
1940,892.00,1197.00,1785.00,1977.00,698.00,6548.00
1941,1314.00,2124.00,1940.00,2552.00,781.00,8712.00
1942,3263.00,4719.00,2452.00,3399.00,801.00,14634.00
1943,6505.00,9557.00,3044.00,4096.00,800.00,24001.00
1944,19705.00,14838.00,3473.00,4759.00,972.00,43747.00
1945,18372.00,15988.00,3451.00,6265.00,1083.00,45159.00
1946,16098.00,11883.00,3115.00,6998.00,1202.00,39296.00
1947,17935.00,8615.00,3422.00,7211.00,1331.00,38514.00
1948,19315.00,9678.00,3751.00,7356.00,1461.00,41560.00
1949,15552.00,11192.00,3781.00,7502.00,1388.00,39415.00
1950,15755.00,10449.00,4338.00,7550.00,1351.00,39443.00
1951,21616.00,14101.00,5674.00,8648.00,1578.00,51616.00
1952,27934.00,21226.00,6445.00,8852.00,1710.00,66167.00
1953,29816.00,21238.00,6820.00,9877.00,1857.00,69608.00
1954,29542.00,21101.00,7208.00,9945.00,1905.00,69701.00
1955,28747.00,17861.00,7862.00,9131.00,1850.00,65451.00
1956,32188.00,20880.00,9320.00,9929.00,2270.00,74587.00
1957,35620.00,21167.00,9997.00,10534.00,2672.00,79990.00
1958,34724.00,20074.00,11239.00,10638.00,2961.00,79636.00
1959,36719.00,17309.00,11722.00,10578.00,2921.00,79249.00
1960,40715.00,21494.00,14683.00,11676.00,3923.00,92492.00
1961,41338.00,20954.00,16439.00,11860.00,3796.00,94388.00
1962,45571.00,20523.00,17046.00,12534.00,4001.00,99676.00
1963,47588.00,21579.00,19804.00,13194.00,4395.00,106560.00
1964,48697.00,23493.00,21963.00,13731.00,4731.00,112613.00
1965,48792.00,25461.00,22242.00,14570.00,5753.00,116817.00
1966,55446.00,30073.00,25546.00,13062.00,6708.00,130835.00
1967,61526.00,33971.00,32619.00,13719.00,6987.00,148822.00
1968,68726.00,28665.00,33923.00,14079.00,7580.00,152973.00
1969,87249.00,36678.00,39015.00,15222.00,8718.00,186882.00
1970,90412.00,32829.00,44362.00,15705.00,9499.00,192807.00
1971,86230.00,26785.00,47325.00,16614.00,10185.00,187139.00
1972,94737.00,32166.00,52574.00,15477.00,12355.00,207309.00
1973,103246.00,36153.00,63115.00,16260.00,12026.00,230799.00
1974,118952.00,38620.00,75071.00,16844.00,13737.00,263224.00
1975,122386.00,40621.00,84534.00,16551.00,14998.00,279090.00
1976,131603.00,41409.00,90769.00,16963.00,17317.00,298060.00
1977,157626.00,54892.00,106485.00,17548.00,19008.00,355559.00
1978,180988.00,59952.00,120967.00,18376.00,19278.00,399561.00
1979,217841.00,65677.00,138939.00,18745.00,22101.00,463302.00
1980,244069.00,64600.00,157803.00,24329.00,26311.00,517112.00
1981,285917.00,61137.00,182720.00,40839.00,28659.00,599272.00
1982,297744.00,49207.00,201498.00,36311.00,33006.00,617766.00
1983,288938.00,37022.00,208994.00,35300.00,30309.00,600562.00
1984,298415.00,56893.00,239376.00,37361.00,34392.00,666438.00
1985,334531.00,61331.00,265163.00,35992.00,37020.00,734037.00
1986,348959.00,63143.00,283901.00,32919.00,40233.00,769155.00
1987,392557.00,83926.00,303318.00,32457.00,42029.00,854287.00
1988,401181.00,94508.00,334335.00,35227.00,43987.00,909238.00
1989,445690.00,103291.00,359416.00,34386.00,48321.00,991104.00
1990,466884.00,93507.00,380047.00,35345.00,56174.00,1031958.00
1991,467827.00,98086.00,396015.00,42402.00,50657.00,1054988.00
1992,475964.00,100270.00,413688.00,45569.00,55717.00,1091208.00
1993,509680.00,117520.00,428299.00,48057.00,50778.00,1154334.00
1994,543055.00,140385.00,461475.00,55225.00,58427.00,1258566.00
1995,590244.00,157004.00,484473.00,57484.00,62585.00,1351790.00
1996,656417.00,171824.00,509414.00,54014.00,61384.00,1453053.00
1997,737466.00,182293.00,539371.00,56924.00,63178.00,1579232.00
1998,828586.00,188677.00,571831.00,57673.00,74961.00,1721728.00
1999,879480.00,184680.00,611833.00,70414.00,81045.00,1827452.00
2000,1004462.00,207289.00,652852.00,68865.00,91723.00,2025191.00
2001,994339.00,151075.00,693967.00,66232.00,85469.00,1991082.00
2002,858345.00,148044.00,700760.00,66989.00,78998.00,1853136.00
2003,793699.00,131778.00,712978.00,67524.00,76335.00,1782314.00
2004,808959.00,189371.00,733407.00,69855.00,78522.00,1880114.00
2005,927222.00,278282.00,794125.00,73094.00,80888.00,2153611.00
2006,1043908.00,353915.00,837821.00,73961.00,97264.00,2406869.00
2007,1163472.00,370243.00,869607.00,65069.00,99594.00,2567985.00
2008,1145747.00,304346.00,900155.00,67334.00,106409.00,2523991.00
2009,915308.00,138229.00,890917.00,62483.00,98052.00,2104989.00
2010,898549.00,191437.00,864814.00,66909.00,140997.00,2162706.00
2011,1091473.00,181085.00,818792.00,72381.00,139735.00,2303466.00
2012,1132206.00,242289.00,845314.00,79061.00,151118.00,2449988.00
2013,1316405.00,273506.00,947820.00,84007.00,153365.00,2775103.00
2014,1394568.00,320731.00,1023458.00,93368.00,189362.00,3021487.00
2015,1540802.00,343797.00,1065257.00,98279.00,201751.00,3249886.00
