Year,Individual Income Tax,Corporate Income Tax,Social Insurance and Retirement,Excise Taxes,Other,Total
1934,14.2,12.3,1.0,45.8,26.7,100.0
1935,14.6,14.7,0.9,39.9,30.0,100.0
1936,17.2,18.3,1.3,41.6,21.6,100.0
1937,20.3,19.3,10.8,34.8,14.9,100.0
1938,19.1,19.1,22.8,27.6,11.5,100.0
1939,16.3,17.9,25.3,29.7,10.7,100.0
1940,13.6,18.3,27.3,30.2,10.7,100.0
1941,15.1,24.4,22.3,29.3,9.0,100.0
1942,22.3,32.2,16.8,23.2,5.5,100.0
1943,27.1,39.8,12.7,17.1,3.3,100.0
1944,45.0,33.9,7.9,10.9,2.2,100.0
1945,40.7,35.4,7.6,13.9,2.4,100.0
1946,41.0,30.2,7.9,17.8,3.1,100.0
1947,46.6,22.4,8.9,18.7,3.5,100.0
1948,46.5,23.3,9.0,17.7,3.5,100.0
1949,39.5,28.4,9.6,19.0,3.5,100.0
1950,39.9,26.5,11.0,19.1,3.4,100.0
1951,41.9,27.3,11.0,16.8,3.1,100.0
1952,42.2,32.1,9.7,13.4,2.6,100.0
1953,42.8,30.5,9.8,14.2,2.7,100.0
1954,42.4,30.3,10.3,14.3,2.7,100.0
1955,43.9,27.3,12.0,14.0,2.8,100.0
1956,43.2,28.0,12.5,13.3,3.0,100.0
1957,44.5,26.5,12.5,13.2,3.3,100.0
1958,43.6,25.2,14.1,13.4,3.7,100.0
1959,46.3,21.8,14.8,13.3,3.7,100.0
1960,44.0,23.2,15.9,12.6,4.2,100.0
1961,43.8,22.2,17.4,12.6,4.0,100.0
1962,45.7,20.6,17.1,12.6,4.0,100.0
1963,44.7,20.3,18.6,12.4,4.1,100.0
1964,43.2,20.9,19.5,12.2,4.2,100.0
1965,41.8,21.8,19.0,12.5,4.9,100.0
1966,42.4,23.0,19.5,10.0,5.1,100.0
1967,41.3,22.8,21.9,9.2,4.7,100.0
1968,44.9,18.7,22.2,9.2,5.0,100.0
1969,46.7,19.6,20.9,8.1,4.7,100.0
1970,46.9,17.0,23.0,8.1,4.9,100.0
1971,46.1,14.3,25.3,8.9,5.4,100.0
1972,45.7,15.5,25.4,7.5,6.0,100.0
1973,44.7,15.7,27.3,7.0,5.2,100.0
1974,45.2,14.7,28.5,6.4,5.2,100.0
1975,43.9,14.6,30.3,5.9,5.4,100.0
1976,44.2,13.9,30.5,5.7,5.8,100.0
1977,44.3,15.4,29.9,4.9,5.3,100.0
1978,45.3,15.0,30.3,4.6,4.8,100.0
1979,47.0,14.2,30.0,4.0,4.8,100.0
1980,47.2,12.5,30.5,4.7,5.1,100.0
1981,47.7,10.2,30.5,6.8,4.8,100.0
1982,48.2,8.0,32.6,5.9,5.3,100.0
1983,48.1,6.2,34.8,5.9,5.0,100.0
1984,44.8,8.5,35.9,5.6,5.2,100.0
1985,45.6,8.4,36.1,4.9,5.0,100.0
1986,45.4,8.2,36.9,4.3,5.2,100.0
1987,46.0,9.8,35.5,3.8,4.9,100.0
1988,44.1,10.4,36.8,3.9,4.8,100.0
1989,45.0,10.4,36.3,3.5,4.9,100.0
1990,45.2,9.1,36.8,3.4,5.4,100.0
1991,44.3,9.3,37.5,4.0,4.8,100.0
1992,43.6,9.2,37.9,4.2,5.1,100.0
1993,44.2,10.2,37.1,4.2,4.4,100.0
1994,43.1,11.2,36.7,4.4,4.6,100.0
1995,43.7,11.6,35.8,4.3,4.6,100.0
1996,45.2,11.8,35.1,3.7,4.2,100.0
1997,46.7,11.5,34.2,3.6,4.0,100.0
1998,48.1,11.0,33.2,3.3,4.4,100.0
1999,48.1,10.1,33.5,3.9,4.4,100.0
2000,49.6,10.2,32.2,3.4,4.5,100.0
2001,49.9,7.6,34.9,3.3,4.3,100.0
2002,46.3,8.0,37.8,3.6,4.3,100.0
2003,44.5,7.4,40.0,3.8,4.3,100.0
2004,43.0,10.1,39.0,3.7,4.2,100.0
2005,43.1,12.9,36.9,3.4,3.8,100.0
2006,43.4,14.7,34.8,3.1,4.0,100.0
2007,45.3,14.4,33.9,2.5,3.9,100.0
2008,45.4,12.1,35.7,2.7,4.2,100.0
2009,43.5,6.6,42.3,3.0,4.7,100.0
2010,41.5,8.9,40.0,3.1,6.5,100.0
2011,47.4,7.9,35.5,3.1,6.1,100.0
2012,46.2,9.9,34.5,3.2,6.2,100.0
2013,47.4,9.9,34.2,3.0,5.5,100.0
2014,46.2,10.6,33.9,3.1,6.3,100.0
2015,47.4,10.6,32.8,3.0,6.2,100.0
