Superfunction and Function,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
National Defense,1660,6435,25658,66699,79143,82965,42681,12808,9105,13150,13724,23566,46089,52802,49266,42729,42523,45430,46815,49015,48130,49601,52345,53400,54757,50620,58111,71417,81926,82497,81692,78872,79174,76681,79347,86509,89619,97241,104495,116342,133995,157513,185309,209903,227411,252743,273373,281996,290360,303555,299321,273285,298346,291084,281640,272063,265748,270502,268194,274769,294363,304732,348456,404733,455813,495294,521820,551258,616066,661012,693485,705554,677852,633446,603457,589564
Human resources,4139,4158,3599,2659,1928,1859,5493,9909,9868,10805,14221,11001,11745,11836,13076,14908,16052,18161,22288,24892,26184,29838,31630,33522,35294,36576,43257,51272,59375,66410,75349,91901,107211,119522,135783,173245,203594,221895,242329,267574,313374,362022,388681,426011,432076,471859,481625,502220,533426,568803,619463,689810,772599,827691,869550,923788,958274,1002389,1033465,1057770,1115517,1194417,1317547,1417857,1485809,1586013,1671926,1758391,1895637,2155793,2386633,2414739,2348587,2417949,2525545,2706820
"Education, Training, Employment, and Social Services",1972,1592,1062,375,160,134,85,102,191,178,241,235,339,441,370,445,591,590,643,789,968,1063,1241,1458,1555,2140,4363,6453,7634,7548,8634,9849,12529,12744,12455,16022,18910,21104,26706,30218,31835,33146,26609,26194,26916,28589,29773,28918,30928,35325,37167,41231,42735,47374,43281,51020,48311,48972,50512,50605,53764,57094,70566,82587,87974,97555,118482,91656,91287,79749,128598,101233,90823,72808,90615,122061
Health,55,60,71,92,174,211,201,177,162,197,268,323,347,336,307,291,359,479,541,685,795,913,1198,1451,1788,1791,2543,3351,4390,5162,5907,6843,8674,9356,10733,12930,15734,17302,18524,20494,23169,26866,27445,28641,30417,33541,35933,39964,44483,48380,57699,71168,89486,99401,107107,115399,119365,123832,131425,141048,154504,172233,196497,219541,240122,250548,252739,266382,280599,334335,369068,372504,346742,358315,409449,482223
Medicare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,2748,4649,5695,6213,6622,7479,8052,9639,12875,15834,19345,22768,26495,32090,39149,46567,52588,57540,65822,70164,75120,78878,84964,98102,104489,119024,130552,144747,159855,174225,190016,192822,190447,197113,217384,230855,249433,269360,298638,329868,375407,390758,430093,451636,485653,471793,497826,511688,546202
Income Security,1514,1855,1828,1739,1503,1137,2384,2820,2499,3174,4097,3352,3655,3823,4434,5071,4734,5427,7535,8239,7378,9683,9207,9311,9657,9469,9678,10261,11816,13076,15655,22946,27650,28278,33714,50176,60799,61060,61509,66382,86565,100304,108158,123041,113405,129032,120685,124137,130430,137589,148838,172633,199732,210137,217290,223806,229746,235035,237750,242478,253724,269774,312720,334632,333059,345847,352477,365975,431313,533224,622210,597349,541344,536511,513644,508843
Social Security,28,91,137,177,217,267,358,466,558,657,781,1565,2063,2717,3352,4427,5478,6661,8219,9737,11602,12474,14365,15788,16620,17460,20694,21725,23854,27298,30270,35872,40157,49090,55867,64658,73899,85061,93861,104073,118547,139584,155964,170724,178223,188623,198756,207352,219341,232542,248623,269014,287584,304585,319565,335846,349671,365251,379215,390037,409423,432958,455980,474680,495548,523305,548549,586153,617027,682963,706737,730811,773290,813551,850533,887753
Veterans Benefits and Services,570,560,501,276,-126,110,2465,6344,6457,6599,8834,5526,5341,4519,4613,4675,4891,5005,5350,5443,5441,5705,5619,5514,5675,5716,5916,6735,7032,7631,8669,9768,10720,12003,13374,16584,18419,18022,18961,19914,21169,22973,23938,24824,25575,26251,26314,26729,29367,30003,29034,31275,34037,35642,37559,37862,36956,39283,41741,43155,46989,44974,50929,56984,59746,70120,69811,72818,84653,95429,108384,127189,124595,138938,149616,159738
Physical resources,2312,1782,3892,6433,5471,1747,836,1227,2243,3104,3667,3924,4182,4005,2584,2732,3092,4559,5188,7813,7991,7754,8831,8013,9528,11264,13410,14674,16002,11869,15574,18286,19574,20614,25106,35449,39188,40746,52590,54559,65985,70886,61752,57603,57960,56804,58722,55132,68625,81553,126011,135159,75586,46841,70677,59113,64170,59852,74669,81892,84925,97492,104308,115588,116259,130145,164706,133828,161889,443828,88835,161923,215287,89997,59188,115170
Energy,88,91,156,116,65,25,41,18,292,341,327,383,474,425,432,325,174,240,348,382,464,510,604,530,572,699,612,782,1037,1010,997,1035,1296,1237,1303,2916,4204,5770,7991,9179,10156,15166,13527,9353,7073,5608,4690,4072,2296,2705,3341,2436,4499,4319,5218,4936,2839,1475,1270,911,-761,9,475,-725,-147,440,785,-852,631,4755,11618,12174,14858,11042,5270,6838
Natural Resources and Environment,997,817,819,726,642,455,482,700,780,1080,1308,1310,1233,1289,1007,940,870,1098,1407,1632,1559,1779,2044,2251,2364,2531,2719,2869,2988,2900,3065,3915,4241,4775,5697,7346,8184,10032,10983,12135,13858,13568,12998,12672,12586,13345,13628,13355,14601,16169,17055,18544,20001,20224,21000,21889,21503,21201,22278,23943,25003,25532,29426,29667,30694,27983,33025,31721,31820,35573,43667,45473,41631,38145,36171,36034
