Department or other unit,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Legislative Branch,196.00,192.00,199.00,212.00,234.00,252.00,269.00,289.00,353.00,395.00,499.00,553.00,638.00,739.00,788.00,990.00,1064.00,1099.00,1224.00,1214.00,1367.00,1437.00,1577.00,1607.00,1662.00,1810.00,1848.00,2216.00,2231.00,2245.00,2629.00,2394.00,2537.00,2609.00,2263.00,2348.00,2572.00,2592.00,2871.00,2959.00,3187.00,3396.00,3890.00,3984.00,4101.00,4294.00,4408.00,4704.00,5839.00,4582.00,4440.00,4316.00,4164.00,4330.00
Judicial Branch,57.00,62.00,66.00,75.00,80.00,88.00,94.00,110.00,133.00,145.00,173.00,188.00,207.00,284.00,325.00,393.00,437.00,481.00,567.00,641.00,710.00,787.00,866.00,966.00,1071.00,1180.00,1342.00,1499.00,1646.00,1997.00,2308.00,2628.00,2677.00,2903.00,3059.00,3259.00,3459.00,3789.00,4057.00,4381.00,4828.00,5127.00,5389.00,5547.00,5823.00,6006.00,6347.00,6645.00,7181.00,7293.00,7227.00,7063.00,6893.00,7137.00
Department of Agriculture,6437.00,7414.00,7569.00,6940.00,5633.00,5952.00,7430.00,8446.00,8412.00,8673.00,11021.00,10167.00,10302.00,15518.00,17682.00,23287.00,30179.00,31698.00,34721.00,41541.00,45623.00,52317.00,41928.00,55435.00,58599.00,49507.00,43930.00,48256.00,45858.00,53990.00,56320.00,63019.00,60615.00,56550.00,54218.00,52393.00,53800.00,62690.00,75071.00,68071.00,68622.00,72737.00,71560.00,85308.00,93533.00,84427.00,90795.00,114440.00,129459.00,139397.00,139717.00,155895.00,141808.00,139115.00
Department of Commerce,215.00,354.00,702.00,736.00,485.00,477.00,582.00,607.00,778.00,783.00,850.00,934.00,992.00,1077.00,1484.00,2010.00,4720.00,3538.00,3129.00,2296.00,2054.00,1925.00,1894.00,2139.00,2083.00,2127.00,2278.00,2570.00,3734.00,2585.00,2566.00,2797.00,2915.00,3401.00,3702.00,3782.00,4036.00,5020.00,7788.00,5003.00,5312.00,5665.00,5829.00,6147.00,6372.00,6475.00,7721.00,10718.00,13236.00,9930.00,10273.00,9140.00,7895.00,8958.00
Department of Defense--Military Programs,50111.00,51147.00,52585.00,48780.00,56629.00,70069.00,80355.00,80771.00,80123.00,77497.00,77645.00,75033.00,77864.00,84852.00,87917.00,95147.00,102259.00,113605.00,130912.00,153861.00,180693.00,204356.00,220863.00,245109.00,265440.00,273919.00,281889.00,294829.00,289694.00,261860.00,286574.00,278510.00,268577.00,259487.00,253196.00,258262.00,255793.00,261196.00,281028.00,290185.00,331845.00,388686.00,437034.00,474354.00,499344.00,528578.00,594662.00,636775.00,666715.00,678074.00,650867.00,607800.00,577898.00,562499.00
Department of Education,816.00,985.00,973.00,1152.00,2416.00,3596.00,4072.00,3990.00,4594.00,5099.00,5537.00,5709.00,5747.00,7331.00,7897.00,8717.00,9828.00,12167.00,14612.00,16973.00,14707.00,14433.00,15424.00,16596.00,17577.00,16670.00,18145.00,21468.00,22972.00,25196.00,25832.00,30109.00,24557.00,31205.00,29727.00,30009.00,31294.00,31285.00,33476.00,35523.00,46373.00,57145.00,62780.00,72858.00,93368.00,66372.00,65963.00,53389.00,93743.00,65484.00,57249.00,40910.00,59610.00,90029.00
Department of Energy,2755.00,2700.00,2726.00,2579.00,2343.00,2253.00,2474.00,2393.00,2393.00,2200.00,2299.00,2304.00,2233.00,3230.00,3841.00,5049.00,6412.00,7441.00,7260.00,11756.00,11656.00,10590.00,10990.00,10586.00,11025.00,10692.00,11165.00,11386.00,12083.00,12472.00,15515.00,16933.00,17830.00,17608.00,16195.00,14458.00,14414.00,15879.00,14971.00,16319.00,17669.00,19379.00,19892.00,21271.00,19649.00,20116.00,21400.00,23683.00,30778.00,31371.00,32484.00,24731.00,23638.00,25424.00
Department of Health and Human Services,3529.00,4110.00,4610.00,4700.00,5715.00,9639.00,13074.00,15411.00,17397.00,20391.00,25309.00,25578.00,28062.00,33751.00,40261.00,46493.00,51752.00,57820.00,68255.00,80821.00,88408.00,95008.00,102374.00,114270.00,122940.00,131410.00,140035.00,152689.00,175515.00,198095.00,231550.00,253821.00,278887.00,303060.00,319788.00,339514.00,350341.00,359429.00,382311.00,425885.00,465326.00,504922.00,542982.00,581390.00,614274.00,671982.00,700442.00,796267.00,854059.00,891247.00,848056.00,886291.00,936012.00,1027507.00
Department of Homeland Security,566.00,642.00,747.00,774.00,705.00,782.00,973.00,1055.00,1089.00,1011.00,1340.00,1833.00,1661.00,2099.00,2455.00,2755.00,3217.00,3415.00,4296.00,3943.00,3847.00,4689.00,5060.00,5007.00,5383.00,5383.00,6180.00,5671.00,7219.00,6654.00,7577.00,9653.00,10708.00,9376.00,9692.00,10533.00,10617.00,13321.00,13159.00,14980.00,17570.00,31970.00,26575.00,38697.00,69025.00,39156.00,40676.00,51719.00,44457.00,45741.00,47422.00,57217.00,43263.00,42573.00
Department of Housing and Urban Development,826.00,-609.00,73.00,492.00,2482.00,3093.00,3727.00,713.00,2432.00,2796.00,3600.00,3580.00,4781.00,7512.00,7026.00,5808.00,7650.00,9220.00,12735.00,14880.00,15232.00,15814.00,16663.00,28720.00,14139.00,15484.00,18938.00,19680.00,20167.00,22751.00,24470.00,25181.00,25845.00,29044.00,25236.00,27527.00,30181.00,32693.00,30781.00,33865.00,31788.00,37410.00,44984.00,42453.00,42435.00,45561.00,49088.00,61019.00,60141.00,57004.00,49600.00,56577.00,38527.00,35527.00
