Year,Gross Federal Debt,Government Accounts,Total Public,Federal Reserve System,Other,Gross Federal Debt %GDP,Government Accounts %GDP,Total Public %GDP,Federal Reserve System %GDP,Other %GDP
1940,50696.00,7924.00,42772.00,2458.00,40314.00,51.6,8.1,43.6,2.5,41.1
1941,57531.00,9308.00,48223.00,2180.00,46043.00,49.5,8.0,41.5,1.9,39.6
1942,79200.00,11447.00,67753.00,2640.00,65113.00,53.6,7.8,45.9,1.8,44.1
1943,142648.00,14882.00,127766.00,7149.00,120617.00,77.3,8.1,69.2,3.9,65.3
1944,204079.00,19283.00,184796.00,14899.00,169897.00,95.5,9.0,86.4,7.0,79.5
1945,260123.00,24941.00,235182.00,21792.00,213390.00,114.9,11.0,103.9,9.6,94.3
1946,270991.00,29130.00,241861.00,23783.00,218078.00,118.9,12.8,106.1,10.4,95.6
1947,257149.00,32810.00,224339.00,21872.00,202467.00,107.6,13.7,93.9,9.2,84.7
1948,252031.00,35761.00,216270.00,21366.00,194904.00,96.0,13.6,82.4,8.1,74.3
1949,252610.00,38288.00,214322.00,19343.00,194979.00,91.3,13.8,77.4,7.0,70.4
1950,256853.00,37830.00,219023.00,18331.00,200692.00,92.1,13.6,78.5,6.6,71.9
1951,255288.00,40962.00,214326.00,22982.00,191344.00,78.0,12.5,65.5,7.0,58.4
1952,259097.00,44339.00,214758.00,22906.00,191852.00,72.5,12.4,60.1,6.4,53.7
1953,265963.00,47580.00,218383.00,24746.00,193637.00,69.5,12.4,57.1,6.5,50.6
1954,270812.00,46313.00,224499.00,25037.00,199462.00,69.9,11.9,57.9,6.5,51.4
1955,274366.00,47751.00,226616.00,23607.00,203009.00,67.4,11.7,55.7,5.8,49.9
1956,272693.00,50537.00,222156.00,23758.00,198398.00,62.1,11.5,50.6,5.4,45.2
1957,272252.00,52931.00,219320.00,23035.00,196285.00,58.6,11.4,47.2,5.0,42.3
1958,279666.00,53329.00,226336.00,25438.00,200898.00,59.0,11.2,47.7,5.4,42.4
1959,287465.00,52764.00,234701.00,26044.00,208657.00,56.9,10.4,46.4,5.2,41.3
1960,290525.00,53686.00,236840.00,26523.00,210317.00,54.3,10.0,44.3,5.0,39.3
1961,292648.00,54291.00,238357.00,27253.00,211104.00,53.4,9.9,43.5,5.0,38.6
1962,302928.00,54918.00,248010.00,29663.00,218347.00,51.6,9.4,42.3,5.1,37.2
1963,310324.00,56345.00,253978.00,32027.00,221951.00,50.1,9.1,41.0,5.2,35.8
1964,316059.00,59210.00,256849.00,34794.00,222055.00,47.7,8.9,38.7,5.2,33.5
1965,322318.00,61540.00,260778.00,39100.00,221678.00,45.4,8.7,36.7,5.5,31.2
1966,328498.00,64784.00,263714.00,42169.00,221545.00,42.0,8.3,33.7,5.4,28.3
1967,340445.00,73819.00,266626.00,46719.00,219907.00,40.6,8.8,31.8,5.6,26.2
1968,368685.00,79140.00,289545.00,52230.00,237315.00,41.0,8.8,32.2,5.8,26.4
1969,365769.00,87661.00,278108.00,54095.00,224013.00,37.2,8.9,28.3,5.5,22.8
1970,380921.00,97723.00,283198.00,57714.00,225484.00,36.3,9.3,27.0,5.5,21.5
1971,408176.00,105140.00,303037.00,65518.00,237519.00,36.5,9.4,27.1,5.9,21.2
1972,435936.00,113559.00,322377.00,71426.00,250951.00,35.7,9.3,26.4,5.9,20.6
1973,466291.00,125381.00,340910.00,75181.00,265729.00,34.4,9.2,25.1,5.5,19.6
1974,483893.00,140194.00,343699.00,80648.00,263051.00,32.6,9.4,23.1,5.4,17.7
1975,541925.00,147225.00,394700.00,84993.00,309707.00,33.6,9.1,24.5,5.3,19.2
1976,628970.00,151566.00,477404.00,94714.00,382690.00,35.1,8.5,26.7,5.3,21.4
1977,706398.00,157294.00,549104.00,105004.00,444100.00,34.8,7.8,27.1,5.2,21.9
1978,776602.00,169476.00,607126.00,115480.00,491646.00,34.1,7.4,26.6,5.1,21.6
1979,829467.00,189161.00,640306.00,115594.00,524712.00,32.3,7.4,24.9,4.5,20.4
1980,909041.00,197118.00,711923.00,120846.00,591077.00,32.5,7.0,25.5,4.3,21.1
1981,994828.00,205418.00,789410.00,124466.00,664944.00,31.7,6.5,25.2,4.0,21.2
1982,1137315.00,212740.00,924575.00,134497.00,790078.00,34.3,6.4,27.9,4.1,23.8
1983,1371660.00,234392.00,1137268.00,155527.00,981741.00,38.7,6.6,32.1,4.4,27.7
1984,1564586.00,257611.00,1306975.00,155122.00,1151853.00,39.6,6.5,33.1,3.9,29.1
1985,1817423.00,310163.00,1507260.00,169806.00,1337454.00,42.6,7.3,35.3,4.0,31.3
1986,2120501.00,379878.00,1740623.00,190855.00,1549767.00,46.7,8.4,38.4,4.2,34.2
1987,2345956.00,456203.00,1889753.00,212040.00,1677713.00,49.1,9.5,39.5,4.4,35.1
1988,2601104.00,549487.00,2051616.00,229218.00,1822398.00,50.5,10.7,39.8,4.4,35.4
1989,2867800.00,677084.00,2190716.00,220088.00,1970628.00,51.5,12.2,39.3,4.0,35.4
1990,3206290.00,794733.00,2411558.00,234410.00,2177147.00,54.2,13.4,40.8,4.0,36.8
1991,3598178.00,909179.00,2688999.00,258591.00,2430408.00,58.9,14.9,44.0,4.2,39.8
1992,4001787.00,1002050.00,2999737.00,296397.00,2703341.00,62.2,15.6,46.6,4.6,42.0
1993,4351044.00,1102647.00,3248396.00,325653.00,2922744.00,64.0,16.2,47.8,4.8,43.0
1994,4643307.00,1210242.00,3433065.00,355150.00,3077915.00,64.5,16.8,47.7,4.9,42.8
1995,4920586.00,1316208.00,3604378.00,374114.00,3230264.00,64.9,17.4,47.5,4.9,42.6
1996,5181465.00,1447392.00,3734073.00,390924.00,3343149.00,64.9,18.1,46.8,4.9,41.9
1997,5369206.00,1596862.00,3772344.00,424518.00,3347826.00,63.3,18.8,44.5,5.0,39.5
1998,5478189.00,1757090.00,3721099.00,458182.00,3262917.00,61.2,19.6,41.6,5.1,36.4
1999,5605523.00,1973160.00,3632363.00,496644.00,3135719.00,58.9,20.7,38.2,5.2,33.0
2000,5628700.00,2218896.00,3409804.00,511413.00,2898391.00,55.5,21.9,33.6,5.0,28.6
2001,5769881.00,2450266.00,3319615.00,534135.00,2785480.00,54.6,23.2,31.4,5.1,26.4
2002,6198401.00,2657974.00,3540427.00,604191.00,2936235.00,57.0,24.4,32.5,5.6,27.0
2003,6760014.00,2846570.00,3913443.00,656116.00,3257327.00,59.7,25.1,34.5,5.8,28.7
2004,7354657.00,3059113.00,4295544.00,700341.00,3595203.00,60.8,25.3,35.5,5.8,29.7
2005,7905300.00,3313088.00,4592212.00,736360.00,3855852.00,61.3,25.7,35.6,5.7,29.9
2006,8451350.00,3622378.00,4828972.00,768924.00,4060048.00,61.8,26.5,35.3,5.6,29.7
2007,8950744.00,3915615.00,5035129.00,779632.00,4255497.00,62.5,27.3,35.2,5.4,29.7
2008,9986082.00,4183032.00,5803050.00,491127.00,5311923.00,67.7,28.4,39.3,3.3,36.0
2009,11875851.00,4331144.00,7544707.00,769160.00,6775547.00,82.4,30.0,52.3,5.3,47.0
2010,13528807.00,4509926.00,9018882.00,811669.00,8207213.00,91.4,30.5,60.9,5.5,55.5
2011,14764222.00,4636035.00,10128187.00,1664660.00,8463527.00,96.0,30.1,65.9,10.8,55.0
2012,16050921.00,4769790.00,11281131.00,1645285.00,9635846.00,100.1,29.8,70.4,10.3,60.1
2013,16719434.00,4736721.00,11982713.00,2072283.00,9910430.00,101.3,28.7,72.6,12.6,60.1
2014,17794483.00,5014584.00,12779899.00,2451743.00,10328156.00,103.6,29.2,74.4,14.3,60.1
2015,18120106.00,5003414.00,13116692.00,2461947.00,10654745.00,101.8,28.1,73.7,13.8,59.8
