country,gdp_2015
Afghanistan,20158379461
Angola,1.0392E+11
Albania,13125739816
Arab World,2.51472E+12
United Arab Emirates,3.5999E+11
Argentina,4.55948E+11
Armenia,11456794382
American Samoa,548088105.7
Australia,1.30102E+12
Austria,4.11219E+11
Azerbaijan,59025316810
Belgium,5.08265E+11
Burkina Faso,11671015481
Bangladesh,1.5663E+11
Bulgaria,54639046567
Bahrain,30778452208
Bosnia and Herzegovina,18297160279
Belarus,58590516276
Bolivia,25661705334
Brazil,2.33036E+12
Brunei Darussalam,13637697103
Bhutan,2067340394
Botswana,16018663550
Central African Republic,1431687441
Canada,1.7963E+12
Central Europe and the Baltics,1.47168E+12
Switzerland,6.25927E+11
Chile,2.63129E+11
China,8.90981E+12
Cote d'Ivoire,33966881649
Cameroon,30431210269
"Congo, Dem. Rep.",29709613590
"Congo, Rep.",14614902201
Colombia,3.59201E+11
Comoros,598210180.8
Cabo Verde,1821863561
Costa Rica,44414685669
Caribbean small states,63719974835
Cuba,73868812486
Cyprus,23384744860
Czech Republic,2.23836E+11
Germany,3.69683E+12
Djibouti,1465243952
Dominica,502716709.1
Denmark,3.41012E+11
Dominican Republic,68989328535
Algeria,1.89772E+11
East Asia & Pacific (excluding high income),1.11933E+13
Early-demographic dividend,1.03967E+13
East Asia & Pacific,2.10412E+13
Europe & Central Asia (excluding high income),3.4428E+12
Europe & Central Asia,2.22184E+13
Ecuador,86639458058
"Egypt, Arab Rep.",2.4772E+11
Euro area,1.30962E+13
Spain,1.41494E+12
Estonia,23141668874
Ethiopia,48330591495
European Union,1.78854E+13
Fragile and conflict affected situations,6.95032E+11
Finland,2.47754E+11
Fiji,3880405926
France,2.77481E+12
"Micronesia, Fed. Sts.",291794183.2
Gabon,18550226878
United Kingdom,2.68218E+12
Georgia,14753724432
Ghana,46504846805
Guinea,5258999828
"Gambia, The",1067687903
Guinea-Bissau,984488940.9
Equatorial Guinea,16422276374
Greece,2.44329E+11
Grenada,896385144.7
Guatemala,49883343905
Guam,5180817455
Guyana,2810153024
High income,4.92152E+13
"Hong Kong SAR, China",2.64271E+11
Honduras,18677977769
Heavily indebted poor countries (HIPC),5.99902E+11
Croatia,58327812721
Haiti,7795333632
Hungary,1.42912E+11
IBRD only,2.48101E+13
IDA & IBRD total,2.68942E+13
IDA total,2.08866E+12
IDA blend,1.08905E+12
Indonesia,9.87514E+11
IDA only,9.92639E+11
India,2.29663E+12
Ireland,3.03003E+11
Iraq,1.86461E+11
Iceland,15168620051
Israel,2.77532E+11
Italy,2.05811E+12
Jamaica,13631636809
Jordan,30196245380
Japan,5.98614E+12
Kazakhstan,1.8626E+11
Kenya,52196109596
Kyrgyz Republic,6059145538
Cambodia,15903594934
Kiribati,181627864.4
St. Kitts and Nevis,838068717.7
"Korea, Rep.",1.26658E+12
Kuwait,1.39682E+11
Latin America & Caribbean (excluding high income),5.46519E+12
Lao PDR,10415401473
Lebanon,41221372226
Liberia,1653502630
St. Lucia,1262175299
Latin America & Caribbean,5.9257E+12
Least developed countries: UN classification,8.48419E+11
Low income,3.71322E+11
Sri Lanka,76264645402
Lower middle income,5.90789E+12
Low & middle income,2.60479E+13
Lesotho,2925547794
Late-demographic dividend,1.73185E+13
Lithuania,44581135003
Luxembourg,60968109934
Latvia,28333749338
"Macao SAR, China",32823775284
Morocco,1.13223E+11
Moldova,7031017911
Madagascar,9934660186
Maldives,2954819941
Middle East & North Africa,3.19835E+12
Mexico,1.20801E+12
Marshall Islands,177238588.6
Middle income,2.56763E+13
"Macedonia, FYR",10587298397
Mali,12686032241
Malta,10503576159
Myanmar,70537733541
Montenegro,4518527906
Mongolia,11677573630
Northern Mariana Islands,806930521.1
Mozambique,14309762881
Mauritius,11955531876
Malawi,8498528242
Malaysia,3.29953E+11
North America,1.83992E+13
Namibia,14753072613
Niger,7637893798
Nigeria,4.61849E+11
Nicaragua,11245854069
Netherlands,8.68309E+11
Norway,4.64998E+11
Nepal,19660603639
Nauru,114067228.2
New Zealand,1.69128E+11
OECD members,4.83828E+13
Oman,71695708713
Other small states,3.89688E+11
Pakistan,2.15894E+11
Panama,42241946769
Peru,1.86206E+11
Philippines,2.65833E+11
Palau,221641176.5
Poland,5.56697E+11
Pre-demographic dividend,1.26154E+12
Portugal,2.27558E+11
Paraguay,25380441837
West Bank and Gaza,11714141339
Pacific island small states,7608094766
Post-demographic dividend,4.573E+13
Qatar,1.66951E+11
Romania,1.89016E+11
Russian Federation,1.63164E+12
Rwanda,8007052596
South Asia,2.79026E+12
Saudi Arabia,6.72214E+11
Sudan,72731117404
Senegal,15772186965
Singapore,2.87018E+11
Solomon Islands,861006850.2
Sierra Leone,3165700198
El Salvador,23606383711
Serbia,40183938020
Sub-Saharan Africa (excluding high income),1.65791E+12
South Sudan,8856230729
Sub-Saharan Africa,1.65918E+12
Small states,4.60955E+11
Sao Tome and Principe,246090401.2
Suriname,4949153847
Slovak Republic,1.01121E+11
Slovenia,49073433775
Sweden,5.40559E+11
Swaziland,5221603357
Seychelles,1265101403
Chad,13359255855
East Asia & Pacific (IDA & IBRD countries),1.11716E+13
Europe & Central Asia (IDA & IBRD countries),4.05782E+12
Togo,4045715351
Thailand,3.92475E+11
