order,president,length,debt,debt_per_year,debt_2009,debt_per_year_2009,party
1,Roosevelt,5,-130475,-26095.00,-1443400,-288680.00,D
2,Truman,8,-45631,-5703.88,-578300,-72287.50,D
3,Eisenhower,8,-18598,-2324.75,-147600,-18450.00,R
4,Kennedy,3,-15237,-5079.00,-104200,-34733.33,D
5,Johnson,5,-44828,-8965.60,-272700,-54540.00,D
6,Nixon,6,-67049,-11174.83,-309300,-51550.00,R
7,Ford,2,-141718,-70859.00,-502700,-251350.00,R
8,Carter,4,-227400,-56850.00,-653800,-163450.00,D
9,Reagan,8,-1338557,-167319.63,-2557400,-319675.00,R
10,Bush,4,-933234,-233308.50,-1447800,-361950.00,R
11,Clinton,8,-320383,-40047.88,-501000,-62625.00,D
12,W. Bush,8,-2005615,-250701.88,-2185500,-273187.50,R
13,Obama,7,-6696191,-956598.71,-6436000,-919428.57,D
