"Year","National Defense","Education, Training, Employment, and Social Services","Health","Medicare","Income Security","Social Security","Veterans Benefits and Services","Energy","Natural Resources and Environment","Commerce and Housing Credit","Transportation","Community and Regional Development","Net interest","International Affairs","General Science, Space, and Technology","Agriculture","Administration of Justice","General Government","Undistributed offsetting receipts","Total"
1940,1660,1972,55,0,1514,28,570,88,997,550,392,285,899,51,0,369,81,274,-317,9468
1941,6435,1592,60,0,1855,91,560,91,817,398,353,123,943,145,0,339,92,306,-547,13653
1942,25658,1062,71,0,1828,137,501,156,819,1521,1283,113,1052,968,4,344,117,397,-894,35137
1943,66699,375,92,0,1739,177,276,116,726,2151,3220,219,1529,1286,1,343,154,673,-1221,78555
1944,79143,160,174,0,1503,217,-126,65,642,624,3901,238,2219,1449,48,1275,192,900,-1320,91304
1945,82965,134,211,0,1137,267,110,25,455,-2630,3654,243,3112,1913,111,1635,178,581,-1389,92712
1946,42681,85,201,0,2384,358,2465,41,482,-1857,1970,200,4111,1935,34,610,176,825,-1468,55232
1947,12808,102,177,0,2820,466,6344,18,700,-923,1130,302,4204,5791,5,814,176,1114,-1552,34496
1948,9105,191,162,0,2499,558,6457,292,780,306,787,78,4341,4566,1,69,170,1045,-1643,29764
1949,13150,178,197,0,3174,657,6599,341,1080,800,916,-33,4523,6052,48,1924,184,824,-1779,38835
1950,13724,241,268,0,4097,781,8834,327,1308,1035,967,30,4812,4673,55,2049,193,986,-1817,42562
1951,23566,235,323,0,3352,1565,5526,383,1310,1228,956,47,4665,3647,51,-323,218,1097,-2332,45514
1952,46089,339,347,0,3655,2063,5341,474,1233,1278,1124,73,4701,2691,49,176,267,1163,-3377,67686
1953,52802,441,336,0,3823,2717,4519,425,1289,910,1264,117,5156,2119,49,2253,243,1209,-3571,76101
1954,49266,370,307,0,4434,3352,4613,432,1007,-184,1229,100,4811,1596,46,1817,257,799,-3397,70855
1955,42729,445,291,0,5071,4427,4675,325,940,92,1246,129,4850,2223,74,3514,256,651,-3493,68444
1956,42523,591,359,0,4734,5478,4891,174,870,506,1450,92,5079,2414,79,3486,302,1201,-3589,70640
1957,45430,590,479,0,5427,6661,5005,240,1098,1424,1662,135,5354,3147,122,2288,303,1360,-4146,76578
1958,46815,643,541,0,7535,8219,5350,348,1407,930,2334,169,5604,3364,141,2411,325,655,-4385,82405
1959,49015,789,685,0,8239,9737,5443,382,1632,1933,3655,211,5762,3144,294,4509,356,926,-4613,92098
1960,48130,968,795,0,7378,11602,5441,464,1559,1618,4126,224,6947,2988,599,2623,366,1184,-4820,92191
1961,49601,1063,913,0,9683,12474,5705,510,1779,1203,3987,275,6716,3184,1042,2641,400,1354,-4807,97723
