"Year","National Defense","Education, Training, Employment, and Social Services","Health","Medicare","Income Security","Social Security","Veterans Benefits and Services","Energy","Natural Resources and Environment","Commerce and Housing Credit","Transportation","Community and Regional Development","Net interest","International Affairs","General Science, Space, and Technology","Agriculture","Administration of Justice","General Government","Undistributed offsetting receipts","Total"
1940,17.5,20.8,0.6,0,16,0.3,6,0.9,10.5,5.8,4.1,3,9.5,0.5,0,3.9,0.9,2.9,-3.3,100
1941,47.1,11.7,0.4,0,13.6,0.7,4.1,0.7,6,2.9,2.6,0.9,6.9,1.1,0,2.5,0.7,2.2,-4,100
1942,73,3,0.2,0,5.2,0.4,1.4,0.4,2.3,4.3,3.7,0.3,3,2.8,0,1,0.3,1.1,-2.5,100
1943,84.9,0.5,0.1,0,2.2,0.2,0.4,0.1,0.9,2.7,4.1,0.3,1.9,1.6,0,0.4,0.2,0.9,-1.6,100
1944,86.7,0.2,0.2,0,1.6,0.2,-0.1,0.1,0.7,0.7,4.3,0.3,2.4,1.6,0.1,1.4,0.2,1,-1.4,100
1945,89.5,0.1,0.2,0,1.2,0.3,0.1,0,0.5,-2.8,3.9,0.3,3.4,2.1,0.1,1.8,0.2,0.6,-1.5,100
1946,77.3,0.2,0.4,0,4.3,0.6,4.5,0.1,0.9,-3.4,3.6,0.4,7.4,3.5,0.1,1.1,0.3,1.5,-2.7,100
1947,37.1,0.3,0.5,0,8.2,1.4,18.4,0.1,2,-2.7,3.3,0.9,12.2,16.8,0,2.4,0.5,3.2,-4.5,100
1948,30.6,0.6,0.5,0,8.4,1.9,21.7,1,2.6,1,2.6,0.3,14.6,15.3,0,0.2,0.6,3.5,-5.5,100
1949,33.9,0.5,0.5,0,8.2,1.7,17,0.9,2.8,2.1,2.4,-0.1,11.6,15.6,0.1,5,0.5,2.1,-4.6,100
1950,32.2,0.6,0.6,0,9.6,1.8,20.8,0.8,3.1,2.4,2.3,0.1,11.3,11,0.1,4.8,0.5,2.3,-4.3,100
1951,51.8,0.5,0.7,0,7.4,3.4,12.1,0.8,2.9,2.7,2.1,0.1,10.2,8,0.1,-0.7,0.5,2.4,-5.1,100
1952,68.1,0.5,0.5,0,5.4,3,7.9,0.7,1.8,1.9,1.7,0.1,6.9,4,0.1,0.3,0.4,1.7,-5,100
1953,69.4,0.6,0.4,0,5,3.6,5.9,0.6,1.7,1.2,1.7,0.2,6.8,2.8,0.1,3,0.3,1.6,-4.7,100
1954,69.5,0.5,0.4,0,6.3,4.7,6.5,0.6,1.4,-0.3,1.7,0.1,6.8,2.3,0.1,2.6,0.4,1.1,-4.8,100
1955,62.4,0.7,0.4,0,7.4,6.5,6.8,0.5,1.4,0.1,1.8,0.2,7.1,3.2,0.1,5.1,0.4,1,-5.1,100
1956,60.2,0.8,0.5,0,6.7,7.8,6.9,0.2,1.2,0.7,2.1,0.1,7.2,3.4,0.1,4.9,0.4,1.7,-5.1,100
1957,59.3,0.8,0.6,0,7.1,8.7,6.5,0.3,1.4,1.9,2.2,0.2,7,4.1,0.2,3,0.4,1.8,-5.4,100
1958,56.8,0.8,0.7,0,9.1,10,6.5,0.4,1.7,1.1,2.8,0.2,6.8,4.1,0.2,2.9,0.4,0.8,-5.3,100
1959,53.2,0.9,0.7,0,8.9,10.6,5.9,0.4,1.8,2.1,4,0.2,6.3,3.4,0.3,4.9,0.4,1,-5,100
1960,52.2,1,0.9,0,8,12.6,5.9,0.5,1.7,1.8,4.5,0.2,7.5,3.2,0.6,2.8,0.4,1.3,-5.2,100
1961,50.8,1.1,0.9,0,9.9,12.8,5.8,0.5,1.8,1.2,4.1,0.3,6.9,3.3,1.1,2.7,0.4,1.4,-4.9,100
1962,49,1.2,1.1,0,8.6,13.4,5.3,0.6,1.9,1.3,4,0.4,6.4,5.3,1.6,3.3,0.4,1,-4.9,100
1963,48,1.3,1.3,0,8.4,14.2,5,0.5,2,0.1,4.1,0.5,7,4.8,2.7,3.9,0.4,1.1,-5.2,100
1964,46.2,1.3,1.5,0,8.1,14,4.8,0.5,2,0.4,4.4,0.8,6.9,4.2,4.1,3.9,0.4,1.3,-4.8,100
1965,42.8,1.8,1.5,0,8,14.8,4.8,0.6,2.1,1,4.9,0.9,7.3,4.5,4.9,3.3,0.5,1.3,-5,100
1966,43.2,3.2,1.9,0,7.2,15.4,4.4,0.5,2,2.4,4.3,0.8,7,4.1,5,1.8,0.4,1.2,-4.9,100
1967,45.4,4.1,2.1,1.7,6.5,13.8,4.3,0.5,1.8,2.5,3.8,0.7,6.5,3.5,4,1.9,0.4,1.1,-4.6,100
1968,46,4.3,2.5,2.6,6.6,13.4,3.9,0.6,1.7,2.4,3.5,0.8,6.2,3,3.1,2.6,0.4,1,-4.5,100
1969,44.9,4.1,2.8,3.1,7.1,14.9,4.2,0.5,1.6,-0.1,3.6,0.8,6.9,2.5,2.7,3.2,0.4,1.1,-4.3,100
1970,41.8,4.4,3,3.2,8,15.5,4.4,0.5,1.6,1.1,3.6,1.2,7.3,2.2,2.3,2.6,0.5,1.2,-4.4,100
1971,37.5,4.7,3.3,3.2,10.9,17.1,4.6,0.5,1.9,1.1,3.8,1.4,7.1,2,2,2,0.6,1.2,-4.8,100
1972,34.3,5.4,3.8,3.2,12,17.4,4.6,0.6,1.8,1,3.6,1.5,6.7,2.1,1.8,2.3,0.7,1.3,-4.2,100
1973,31.2,5.2,3.8,3.3,11.5,20,4.9,0.5,1.9,0.4,3.7,1.9,7.1,1.7,1.6,2,0.9,4,-5.5,100
1974,29.5,4.6,4,3.6,12.5,20.7,5,0.5,2.1,1.7,3.4,1.6,8,2.1,1.5,0.8,0.9,3.7,-6.2,100
1975,26,4.8,3.9,3.9,15.1,19.5,5,0.9,2.2,3,3.3,1.3,7,2.1,1.2,0.9,0.9,3.1,-4.1,100
1976,24.1,5.1,4.2,4.3,16.4,19.9,5,1.1,2.2,2,3.7,1.5,7.2,1.7,1.2,0.8,0.9,2.6,-3.9,100
1977,23.8,5.2,4.2,4.7,14.9,20.8,4.4,1.4,2.5,0.8,3.6,1.7,7.3,1.6,1.2,1.6,0.9,3.1,-3.6,100
1978,22.8,5.8,4,5,13.4,20.5,4.1,1.7,2.4,1.4,3.4,2.6,7.7,1.6,1.1,2.5,0.9,2.6,-3.4,100
1979,23.1,6,4.1,5.3,13.2,20.6,4,1.8,2.4,0.9,3.6,2.1,8.5,1.5,1,2.2,0.9,2.4,-3.5,100
