"Year","National Defense","Human resources","Education, Training, Employment, and Social Services","Health","Medicare","Income Security","Social Security","Veterans Benefits and Services","Physical resources","Energy","Natural Resources and Environment","Commerce and Housing Credit","Transportation","Community and Regional Development","Net interest","Other functions","International Affairs","General Science, Space, and Technology","Agriculture","Administration of Justice","General Government","Undistributed offsetting receipts","Total"
1940,1660,4139,1972,55,0,1514,28,570,2312,88,997,550,392,285,899,775,51,0,369,81,274,-317,9468
1941,6435,4158,1592,60,0,1855,91,560,1782,91,817,398,353,123,943,882,145,0,339,92,306,-547,13653
1942,25658,3599,1062,71,0,1828,137,501,3892,156,819,1521,1283,113,1052,1830,968,4,344,117,397,-894,35137
1943,66699,2659,375,92,0,1739,177,276,6433,116,726,2151,3220,219,1529,2457,1286,1,343,154,673,-1221,78555
1944,79143,1928,160,174,0,1503,217,-126,5471,65,642,624,3901,238,2219,3864,1449,48,1275,192,900,-1320,91304
1945,82965,1859,134,211,0,1137,267,110,1747,25,455,-2630,3654,243,3112,4418,1913,111,1635,178,581,-1389,92712
1946,42681,5493,85,201,0,2384,358,2465,836,41,482,-1857,1970,200,4111,3580,1935,34,610,176,825,-1468,55232
1947,12808,9909,102,177,0,2820,466,6344,1227,18,700,-923,1130,302,4204,7900,5791,5,814,176,1114,-1552,34496
1948,9105,9868,191,162,0,2499,558,6457,2243,292,780,306,787,78,4341,5851,4566,1,69,170,1045,-1643,29764
1949,13150,10805,178,197,0,3174,657,6599,3104,341,1080,800,916,-33,4523,9032,6052,48,1924,184,824,-1779,38835
1950,13724,14221,241,268,0,4097,781,8834,3667,327,1308,1035,967,30,4812,7955,4673,55,2049,193,986,-1817,42562
1951,23566,11001,235,323,0,3352,1565,5526,3924,383,1310,1228,956,47,4665,4690,3647,51,-323,218,1097,-2332,45514
1952,46089,11745,339,347,0,3655,2063,5341,4182,474,1233,1278,1124,73,4701,4346,2691,49,176,267,1163,-3377,67686
1953,52802,11836,441,336,0,3823,2717,4519,4005,425,1289,910,1264,117,5156,5873,2119,49,2253,243,1209,-3571,76101
1954,49266,13076,370,307,0,4434,3352,4613,2584,432,1007,-184,1229,100,4811,4515,1596,46,1817,257,799,-3397,70855
1955,42729,14908,445,291,0,5071,4427,4675,2732,325,940,92,1246,129,4850,6718,2223,74,3514,256,651,-3493,68444
1956,42523,16052,591,359,0,4734,5478,4891,3092,174,870,506,1450,92,5079,7482,2414,79,3486,302,1201,-3589,70640
1957,45430,18161,590,479,0,5427,6661,5005,4559,240,1098,1424,1662,135,5354,7220,3147,122,2288,303,1360,-4146,76578
1958,46815,22288,643,541,0,7535,8219,5350,5188,348,1407,930,2334,169,5604,6896,3364,141,2411,325,655,-4385,82405
1959,49015,24892,789,685,0,8239,9737,5443,7813,382,1632,1933,3655,211,5762,9229,3144,294,4509,356,926,-4613,92098
1960,48130,26184,968,795,0,7378,11602,5441,7991,464,1559,1618,4126,224,6947,7760,2988,599,2623,366,1184,-4820,92191
1961,49601,29838,1063,913,0,9683,12474,5705,7754,510,1779,1203,3987,275,6716,8621,3184,1042,2641,400,1354,-4807,97723
1962,52345,31630,1241,1198,0,9207,14365,5619,8831,604,2044,1424,4290,469,6889,12401,5639,1723,3562,429,1049,-5274,106821
1963,53400,33522,1458,1451,0,9311,15788,5514,8013,530,2251,62,4596,574,7740,14437,5308,3051,4384,465,1230,-5797,111316
1964,54757,35294,1555,1788,0,9657,16620,5675,9528,572,2364,418,5242,933,8199,16458,4945,4897,4609,489,1518,-5708,118528
1965,50620,36576,2140,1791,0,9469,17460,5716,11264,699,2531,1157,5763,1114,8591,17086,5273,5823,3954,536,1499,-5908,118228
1966,58111,43257,4363,2543,64,9678,20694,5916,13410,612,2719,3245,5730,1105,9386,16911,5580,6717,2447,564,1603,-6542,134532
1967,71417,51272,6453,3351,2748,10261,21725,6735,14674,782,2869,3979,5936,1108,10268,17126,5566,6233,2990,618,1719,-7294,157464
1968,81926,59375,7634,4390,4649,11816,23854,7032,16002,1037,2988,4280,6316,1382,11090,17786,5301,5524,4544,659,1757,-8045,178134
1969,82497,66410,7548,5162,5695,13076,27298,7631,11869,1010,2900,-119,6526,1552,12699,18151,4600,5020,5826,766,1939,-7986,183640
1970,81692,75349,8634,5907,6213,15655,30270,8669,15574,997,3065,2112,7008,2392,14380,17286,4330,4511,5166,959,2320,-8632,195649
1971,78872,91901,9849,6843,6622,22946,35872,9768,18286,1035,3915,2366,8052,2917,14841,16379,4159,4182,4290,1307,2442,-10107,210172
1972,79174,107211,12529,8674,7479,27650,40157,10720,19574,1296,4241,2222,8392,3423,15478,18828,4781,4175,5227,1684,2960,-9583,230681
1973,76681,119522,12744,9356,8052,28278,49090,12003,20614,1237,4775,931,9066,4605,17349,24950,4149,4032,4821,2174,9774,-13409,245707
1974,79347,135783,12455,10733,9639,33714,55867,13374,25106,1303,5697,4705,9172,4229,21449,24423,5710,3980,2194,2505,10032,-16749,269359
1975,86509,173245,16022,12930,12875,50176,64658,16584,35449,2916,7346,9947,10918,4322,23244,27487,7097,3991,2997,3028,10374,-13602,332332
1976,89619,203594,18910,15734,15834,60799,73899,18419,39188,4204,8184,7619,13739,5442,26727,27050,6433,4373,3109,3430,9706,-14386,371792
1977,97241,221895,21104,17302,19345,61060,85061,18022,40746,5770,10032,3093,14829,7021,29901,34315,6353,4736,6734,3701,12791,-14879,409218
