"Year","National Defense","Human resources","Education, Training, Employment, and Social Services","Health","Medicare","Income Security","Social Security","Veterans Benefits and Services","Physical resources","Energy","Natural Resources and Environment","Commerce and Housing Credit","Transportation","Community and Regional Development","Net interest","Other functions","International Affairs","General Science, Space, and Technology","Agriculture","Administration of Justice","General Government","Undistributed offsetting receipts","Total"
1940,1.7,4.2,2,0.1,0,1.5,0,0.6,2.4,0.1,1,0.6,0.4,0.3,0.9,0.8,0.1,0,0.4,0.1,0.3,-0.3,9.6
1941,5.5,3.6,1.4,0.1,0,1.6,0.1,0.5,1.5,0.1,0.7,0.3,0.3,0.1,0.8,0.8,0.1,0,0.3,0.1,0.3,-0.5,11.7
1942,17.4,2.4,0.7,0,0,1.2,0.1,0.3,2.6,0.1,0.6,1,0.9,0.1,0.7,1.2,0.7,0,0.2,0.1,0.3,-0.6,23.8
1943,36.1,1.4,0.2,0,0,0.9,0.1,0.1,3.5,0.1,0.4,1.2,1.7,0.1,0.8,1.3,0.7,0,0.2,0.1,0.4,-0.7,42.6
1944,37,0.9,0.1,0.1,0,0.7,0.1,-0.1,2.6,0,0.3,0.3,1.8,0.1,1,1.8,0.7,0,0.6,0.1,0.4,-0.6,42.7
1945,36.6,0.8,0.1,0.1,0,0.5,0.1,0,0.8,0,0.2,-1.2,1.6,0.1,1.4,2,0.8,0,0.7,0.1,0.3,-0.6,41
1946,18.7,2.4,0,0.1,0,1,0.2,1.1,0.4,0,0.2,-0.8,0.9,0.1,1.8,1.6,0.8,0,0.3,0.1,0.4,-0.6,24.2
1947,5.4,4.1,0,0.1,0,1.2,0.2,2.7,0.5,0,0.3,-0.4,0.5,0.1,1.8,3.3,2.4,0,0.3,0.1,0.5,-0.6,14.4
1948,3.5,3.8,0.1,0.1,0,1,0.2,2.5,0.9,0.1,0.3,0.1,0.3,0,1.7,2.2,1.7,0,0,0.1,0.4,-0.6,11.3
1949,4.8,3.9,0.1,0.1,0,1.1,0.2,2.4,1.1,0.1,0.4,0.3,0.3,0,1.6,3.3,2.2,0,0.7,0.1,0.3,-0.6,14
1950,4.9,5.1,0.1,0.1,0,1.5,0.3,3.2,1.3,0.1,0.5,0.4,0.3,0,1.7,2.9,1.7,0,0.7,0.1,0.4,-0.7,15.3
1951,7.2,3.4,0.1,0.1,0,1,0.5,1.7,1.2,0.1,0.4,0.4,0.3,0,1.4,1.4,1.1,0,-0.1,0.1,0.3,-0.7,13.9
1952,12.9,3.3,0.1,0.1,0,1,0.6,1.5,1.2,0.1,0.3,0.4,0.3,0,1.3,1.2,0.8,0,0,0.1,0.3,-0.9,18.9
1953,13.8,3.1,0.1,0.1,0,1,0.7,1.2,1,0.1,0.3,0.2,0.3,0,1.3,1.5,0.6,0,0.6,0.1,0.3,-0.9,19.9
1954,12.7,3.4,0.1,0.1,0,1.1,0.9,1.2,0.7,0.1,0.3,0,0.3,0,1.2,1.2,0.4,0,0.5,0.1,0.2,-0.9,18.3
1955,10.5,3.7,0.1,0.1,0,1.2,1.1,1.1,0.7,0.1,0.2,0,0.3,0,1.2,1.7,0.5,0,0.9,0.1,0.2,-0.9,16.8
1956,9.7,3.7,0.1,0.1,0,1.1,1.2,1.1,0.7,0,0.2,0.1,0.3,0,1.2,1.7,0.5,0,0.8,0.1,0.3,-0.8,16.1
1957,9.8,3.9,0.1,0.1,0,1.2,1.4,1.1,1,0.1,0.2,0.3,0.4,0,1.2,1.6,0.7,0,0.5,0.1,0.3,-0.9,16.5
1958,9.9,4.7,0.1,0.1,0,1.6,1.7,1.1,1.1,0.1,0.3,0.2,0.5,0,1.2,1.5,0.7,0,0.5,0.1,0.1,-0.9,17.4
1959,9.7,4.9,0.2,0.1,0,1.6,1.9,1.1,1.5,0.1,0.3,0.4,0.7,0,1.1,1.8,0.6,0.1,0.9,0.1,0.2,-0.9,18.2
1960,9,4.9,0.2,0.1,0,1.4,2.2,1,1.5,0.1,0.3,0.3,0.8,0,1.3,1.5,0.6,0.1,0.5,0.1,0.2,-0.9,17.2
1961,9.1,5.4,0.2,0.2,0,1.8,2.3,1,1.4,0.1,0.3,0.2,0.7,0.1,1.2,1.6,0.6,0.2,0.5,0.1,0.2,-0.9,17.8
1962,8.9,5.4,0.2,0.2,0,1.6,2.4,1,1.5,0.1,0.3,0.2,0.7,0.1,1.2,2.1,1,0.3,0.6,0.1,0.2,-0.9,18.2
