"Year","National Defense","Human resources","Physical resources","Net interest","Other functions","Undistributed offsetting receipts","Total"
1940,1660,4139,2312,899,775,-317,9468
1941,6435,4158,1782,943,882,-547,13653
1942,25658,3599,3892,1052,1830,-894,35137
1943,66699,2659,6433,1529,2457,-1221,78555
1944,79143,1928,5471,2219,3864,-1320,91304
1945,82965,1859,1747,3112,4418,-1389,92712
1946,42681,5493,836,4111,3580,-1468,55232
1947,12808,9909,1227,4204,7900,-1552,34496
1948,9105,9868,2243,4341,5851,-1643,29764
1949,13150,10805,3104,4523,9032,-1779,38835
1950,13724,14221,3667,4812,7955,-1817,42562
1951,23566,11001,3924,4665,4690,-2332,45514
1952,46089,11745,4182,4701,4346,-3377,67686
1953,52802,11836,4005,5156,5873,-3571,76101
1954,49266,13076,2584,4811,4515,-3397,70855
1955,42729,14908,2732,4850,6718,-3493,68444
1956,42523,16052,3092,5079,7482,-3589,70640
1957,45430,18161,4559,5354,7220,-4146,76578
1958,46815,22288,5188,5604,6896,-4385,82405
1959,49015,24892,7813,5762,9229,-4613,92098
1960,48130,26184,7991,6947,7760,-4820,92191
1961,49601,29838,7754,6716,8621,-4807,97723
1962,52345,31630,8831,6889,12401,-5274,106821
1963,53400,33522,8013,7740,14437,-5797,111316
1964,54757,35294,9528,8199,16458,-5708,118528
1965,50620,36576,11264,8591,17086,-5908,118228
1966,58111,43257,13410,9386,16911,-6542,134532
1967,71417,51272,14674,10268,17126,-7294,157464
1968,81926,59375,16002,11090,17786,-8045,178134
1969,82497,66410,11869,12699,18151,-7986,183640
1970,81692,75349,15574,14380,17286,-8632,195649
1971,78872,91901,18286,14841,16379,-10107,210172
1972,79174,107211,19574,15478,18828,-9583,230681
1973,76681,119522,20614,17349,24950,-13409,245707
1974,79347,135783,25106,21449,24423,-16749,269359
1975,86509,173245,35449,23244,27487,-13602,332332
1976,89619,203594,39188,26727,27050,-14386,371792
1977,97241,221895,40746,29901,34315,-14879,409218
1978,104495,242329,52590,35458,39594,-15720,458746
1979,116342,267574,54559,42633,40396,-17476,504028
1980,133995,313374,65985,52533,44996,-19942,590941
1981,157513,362022,70886,68766,47095,-28041,678241
1982,185309,388681,61752,85032,51068,-26099,745743
1983,209903,426011,57603,89808,59015,-33976,808364
1984,227411,432076,57960,111102,55214,-31957,851805
1985,252743,471859,56804,129478,68160,-32698,946344
1986,273373,481625,58722,136017,73652,-33007,990382
1987,281996,502220,55132,138611,62513,-36455,1004017
1988,290360,533426,68625,151803,57169,-36967,1064416
1989,303555,568803,81553,168981,58063,-37212,1143743
1990,299321,619463,126011,184347,60468,-36615,1252993
1991,273285,689810,135159,194448,70879,-39356,1324226
1992,298346,772599,75586,199344,74934,-39280,1381529
1993,291084,827691,46841,198713,82443,-37386,1409386
1994,281640,869550,70677,202932,74725,-37772,1461752
1995,272063,923788,59113,232134,73099,-44455,1515742
1996,265748,958274,64170,241053,68859,-37620,1560484
1997,270502,1002389,59852,243984,74362,-49973,1601116
1998,268194,1033465,74669,241118,82206,-47194,1652458
1999,274769,1057770,81892,229755,98101,-40445,1701842
2000,294363,1115517,84925,222949,113777,-42581,1788950
2001,304732,1194417,97492,206167,107049,-47011,1862846
2002,348456,1317547,104308,170949,117026,-47392,2010894
2003,404733,1417857,115588,153073,123030,-54382,2159899
2004,455813,1485809,116259,160245,133252,-58537,2292841
2005,495294,1586013,130145,183986,141743,-65224,2471957
2006,521820,1671926,164706,226603,138245,-68250,2655050
2007,551258,1758391,133828,237109,130338,-82238,2728686
2008,616066,1895637,161889,252757,142437,-86242,2982544
2009,661012,2155793,443828,186902,162781,-92639,3517677
2010,693485,2386633,88835,196194,174048,-82116,3457079
2011,705554,2414739,161923,229962,179345,-88467,3603056
2012,677852,2348587,215287,220408,178353,-103536,3536951
2013,633446,2417949,89997,220885,185155,-92785,3454647
2014,603457,2525545,59188,228956,177012,-88044,3506114
2015,589564,2706820,115170,223181,169360,-115803,3688292
