"Year","National Defense","Human resources","Physical resources","Net interest","Other functions","Undistributed offsetting receipts","Total"
1940,1.7,4.2,2.4,0.9,0.8,-0.3,9.6
1941,5.5,3.6,1.5,0.8,0.8,-0.5,11.7
1942,17.4,2.4,2.6,0.7,1.2,-0.6,23.8
1943,36.1,1.4,3.5,0.8,1.3,-0.7,42.6
1944,37,0.9,2.6,1,1.8,-0.6,42.7
1945,36.6,0.8,0.8,1.4,2,-0.6,41
1946,18.7,2.4,0.4,1.8,1.6,-0.6,24.2
1947,5.4,4.1,0.5,1.8,3.3,-0.6,14.4
1948,3.5,3.8,0.9,1.7,2.2,-0.6,11.3
1949,4.8,3.9,1.1,1.6,3.3,-0.6,14
1950,4.9,5.1,1.3,1.7,2.9,-0.7,15.3
1951,7.2,3.4,1.2,1.4,1.4,-0.7,13.9
1952,12.9,3.3,1.2,1.3,1.2,-0.9,18.9
1953,13.8,3.1,1,1.3,1.5,-0.9,19.9
1954,12.7,3.4,0.7,1.2,1.2,-0.9,18.3
1955,10.5,3.7,0.7,1.2,1.7,-0.9,16.8
1956,9.7,3.7,0.7,1.2,1.7,-0.8,16.1
1957,9.8,3.9,1,1.2,1.6,-0.9,16.5
1958,9.9,4.7,1.1,1.2,1.5,-0.9,17.4
1959,9.7,4.9,1.5,1.1,1.8,-0.9,18.2
1960,9,4.9,1.5,1.3,1.5,-0.9,17.2
1961,9.1,5.4,1.4,1.2,1.6,-0.9,17.8
1962,8.9,5.4,1.5,1.2,2.1,-0.9,18.2
1963,8.6,5.4,1.3,1.2,2.3,-0.9,18
1964,8.3,5.3,1.4,1.2,2.5,-0.9,17.9
1965,7.1,5.1,1.6,1.2,2.4,-0.8,16.6
1966,7.4,5.5,1.7,1.2,2.2,-0.8,17.2
1967,8.5,6.1,1.8,1.2,2,-0.9,18.8
1968,9.1,6.6,1.8,1.2,2,-0.9,19.8
1969,8.4,6.8,1.2,1.3,1.8,-0.8,18.7
1970,7.8,7.2,1.5,1.4,1.6,-0.8,18.6
1971,7,8.2,1.6,1.3,1.5,-0.9,18.8
1972,6.5,8.8,1.6,1.3,1.5,-0.8,18.9
1973,5.7,8.8,1.5,1.3,1.8,-1,18.1
1974,5.3,9.1,1.7,1.4,1.6,-1.1,18.1
1975,5.4,10.8,2.2,1.4,1.7,-0.8,20.6
1976,5,11.4,2.2,1.5,1.5,-0.8,20.8
1977,4.8,10.9,2,1.5,1.7,-0.7,20.2
1978,4.6,10.6,2.3,1.6,1.7,-0.7,20.1
1979,4.5,10.4,2.1,1.7,1.6,-0.7,19.6
1980,4.8,11.2,2.4,1.9,1.6,-0.7,21.1
1981,5,11.5,2.3,2.2,1.5,-0.9,21.6
1982,5.6,11.7,1.9,2.6,1.5,-0.8,22.5
1983,5.9,12,1.6,2.5,1.7,-1,22.8
1984,5.8,10.9,1.5,2.8,1.4,-0.8,21.5
1985,5.9,11,1.3,3,1.6,-0.8,22.2
1986,6,10.6,1.3,3,1.6,-0.7,21.8
1987,5.9,10.5,1.2,2.9,1.3,-0.8,21
1988,5.6,10.3,1.3,2.9,1.1,-0.7,20.6
1989,5.4,10.2,1.5,3,1,-0.7,20.5
1990,5.1,10.5,2.1,3.1,1,-0.6,21.2
1991,4.5,11.3,2.2,3.2,1.2,-0.6,21.7
1992,4.6,12,1.2,3.1,1.2,-0.6,21.5
1993,4.3,12.2,0.7,2.9,1.2,-0.6,20.7
1994,3.9,12.1,1,2.8,1,-0.5,20.3
1995,3.6,12.2,0.8,3.1,1,-0.6,20
1996,3.3,12,0.8,3,0.9,-0.5,19.6
1997,3.2,11.8,0.7,2.9,0.9,-0.6,18.9
1998,3,11.5,0.8,2.7,0.9,-0.5,18.5
1999,2.9,11.1,0.9,2.4,1,-0.4,17.9
2000,2.9,11,0.8,2.2,1.1,-0.4,17.6
2001,2.9,11.3,0.9,2,1,-0.4,17.6
2002,3.2,12.1,1,1.6,1.1,-0.4,18.5
2003,3.6,12.5,1,1.4,1.1,-0.5,19.1
2004,3.8,12.3,1,1.3,1.1,-0.5,19
2005,3.8,12.3,1,1.4,1.1,-0.5,19.2
2006,3.8,12.2,1.2,1.7,1,-0.5,19.4
2007,3.8,12.3,0.9,1.7,0.9,-0.6,19.1
2008,4.2,12.8,1.1,1.7,1,-0.6,20.2
2009,4.6,15,3.1,1.3,1.1,-0.6,24.4
2010,4.7,16.1,0.6,1.3,1.2,-0.6,23.4
2011,4.6,15.7,1.1,1.5,1.2,-0.6,23.4
2012,4.2,14.7,1.3,1.4,1.1,-0.6,22.1
2013,3.8,14.7,0.5,1.3,1.1,-0.6,20.9
2014,3.5,14.7,0.3,1.3,1,-0.5,20.4
2015,3.3,15.2,0.6,1.3,1,-0.7,20.7
