"Year","National Defense","Human resources","Physical resources","Net interest","Other functions","Undistributed offsetting receipts","Total"
1940,17.5,43.7,24.4,9.5,8.2,-3.3,100
1941,47.1,30.5,13.1,6.9,6.5,-4,100
1942,73,10.2,11.1,3,5.2,-2.5,100
1943,84.9,3.4,8.2,1.9,3.1,-1.6,100
1944,86.7,2.1,6,2.4,4.2,-1.4,100
1945,89.5,2,1.9,3.4,4.8,-1.5,100
1946,77.3,9.9,1.5,7.4,6.5,-2.7,100
1947,37.1,28.7,3.6,12.2,22.9,-4.5,100
1948,30.6,33.2,7.5,14.6,19.7,-5.5,100
1949,33.9,27.8,8,11.6,23.3,-4.6,100
1950,32.2,33.4,8.6,11.3,18.7,-4.3,100
1951,51.8,24.2,8.6,10.2,10.3,-5.1,100
1952,68.1,17.4,6.2,6.9,6.4,-5,100
1953,69.4,15.6,5.3,6.8,7.7,-4.7,100
1954,69.5,18.5,3.6,6.8,6.4,-4.8,100
1955,62.4,21.8,4,7.1,9.8,-5.1,100
1956,60.2,22.7,4.4,7.2,10.6,-5.1,100
1957,59.3,23.7,6,7,9.4,-5.4,100
1958,56.8,27,6.3,6.8,8.4,-5.3,100
1959,53.2,27,8.5,6.3,10,-5,100
1960,52.2,28.4,8.7,7.5,8.4,-5.2,100
1961,50.8,30.5,7.9,6.9,8.8,-4.9,100
1962,49,29.6,8.3,6.4,11.6,-4.9,100
1963,48,30.1,7.2,7,13,-5.2,100
1964,46.2,29.8,8,6.9,13.9,-4.8,100
1965,42.8,30.9,9.5,7.3,14.5,-5,100
1966,43.2,32.2,10,7,12.6,-4.9,100
1967,45.4,32.6,9.3,6.5,10.9,-4.6,100
1968,46,33.3,9,6.2,10,-4.5,100
1969,44.9,36.2,6.5,6.9,9.9,-4.3,100
1970,41.8,38.5,8,7.3,8.8,-4.4,100
1971,37.5,43.7,8.7,7.1,7.8,-4.8,100
1972,34.3,46.5,8.5,6.7,8.2,-4.2,100
1973,31.2,48.6,8.4,7.1,10.2,-5.5,100
1974,29.5,50.4,9.3,8,9.1,-6.2,100
1975,26,52.1,10.7,7,8.3,-4.1,100
1976,24.1,54.8,10.5,7.2,7.3,-3.9,100
1977,23.8,54.2,10,7.3,8.4,-3.6,100
1978,22.8,52.8,11.5,7.7,8.6,-3.4,100
1979,23.1,53.1,10.8,8.5,8,-3.5,100
1980,22.7,53,11.2,8.9,7.6,-3.4,100
1981,23.2,53.4,10.5,10.1,6.9,-4.1,100
1982,24.8,52.1,8.3,11.4,6.8,-3.5,100
1983,26,52.7,7.1,11.1,7.3,-4.2,100
1984,26.7,50.7,6.8,13,6.5,-3.8,100
1985,26.7,49.9,6,13.7,7.2,-3.5,100
1986,27.6,48.6,5.9,13.7,7.4,-3.3,100
1987,28.1,50,5.5,13.8,6.2,-3.6,100
1988,27.3,50.1,6.4,14.3,5.4,-3.5,100
1989,26.5,49.7,7.1,14.8,5.1,-3.3,100
1990,23.9,49.4,10.1,14.7,4.8,-2.9,100
1991,20.6,52.1,10.2,14.7,5.4,-3,100
1992,21.6,55.9,5.5,14.4,5.4,-2.8,100
1993,20.7,58.7,3.3,14.1,5.8,-2.7,100
1994,19.3,59.5,4.8,13.9,5.1,-2.6,100
1995,17.9,60.9,3.9,15.3,4.8,-2.9,100
1996,17,61.4,4.1,15.4,4.4,-2.4,100
1997,16.9,62.6,3.7,15.2,4.6,-3.1,100
1998,16.2,62.5,4.5,14.6,5,-2.9,100
1999,16.1,62.2,4.8,13.5,5.8,-2.4,100
2000,16.5,62.4,4.7,12.5,6.4,-2.4,100
2001,16.4,64.1,5.2,11.1,5.7,-2.5,100
2002,17.3,65.5,5.2,8.5,5.8,-2.4,100
2003,18.7,65.6,5.4,7.1,5.7,-2.5,100
2004,19.9,64.8,5.1,7,5.8,-2.6,100
2005,20,64.2,5.3,7.4,5.7,-2.6,100
2006,19.7,63,6.2,8.5,5.2,-2.6,100
2007,20.2,64.4,4.9,8.7,4.8,-3,100
2008,20.7,63.6,5.4,8.5,4.8,-2.9,100
2009,18.8,61.3,12.6,5.3,4.6,-2.6,100
2010,20.1,69,2.6,5.7,5,-2.4,100
2011,19.6,67,4.5,6.4,5,-2.5,100
2012,19.2,66.4,6.1,6.2,5,-2.9,100
2013,18.3,70,2.6,6.4,5.4,-2.7,100
2014,17.2,72,1.7,6.5,5,-2.5,100
2015,16,73.4,3.1,6.1,4.6,-3.1,100
