"Year","Individual.Income.Tax","Corporate.Income.Tax","Social.Insurance.and.Retirement","Excise","Other","Total","individual_pct_receipts","corproate_pct_receipts","social_pct_receipts","excise_pct_receipts","other_pct_receipts","total_pct_receipts","individual_pct_gdp","corproate_pct_gdp","social_pct_gdp","excise_pct_gdp","other_pct_gdp","total_pct_gdp"
1940,892,1197,1785,1977,698,6548,13.6,18.3,27.3,30.2,10.7,100,0.9,1.2,1.8,2,0.7,6.7
1941,1314,2124,1940,2552,781,8712,15.1,24.4,22.3,29.3,9,100,1.1,1.8,1.7,2.2,0.7,7.5
1942,3263,4719,2452,3399,801,14634,22.3,32.2,16.8,23.2,5.5,100,2.2,3.2,1.7,2.3,0.5,9.9
1943,6505,9557,3044,4096,800,24001,27.1,39.8,12.7,17.1,3.3,100,3.5,5.2,1.6,2.2,0.4,13
1944,19705,14838,3473,4759,972,43747,45,33.9,7.9,10.9,2.2,100,9.2,6.9,1.6,2.2,0.5,20.5
1945,18372,15988,3451,6265,1083,45159,40.7,35.4,7.6,13.9,2.4,100,8.1,7.1,1.5,2.8,0.5,19.9
1946,16098,11883,3115,6998,1202,39296,41,30.2,7.9,17.8,3.1,100,7.1,5.2,1.4,3.1,0.5,17.2
1947,17935,8615,3422,7211,1331,38514,46.6,22.4,8.9,18.7,3.5,100,7.5,3.6,1.4,3,0.6,16.1
1948,19315,9678,3751,7356,1461,41560,46.5,23.3,9,17.7,3.5,100,7.4,3.7,1.4,2.8,0.6,15.8
1949,15552,11192,3781,7502,1388,39415,39.5,28.4,9.6,19,3.5,100,5.6,4,1.4,2.7,0.5,14.2
1950,15755,10449,4338,7550,1351,39443,39.9,26.5,11,19.1,3.4,100,5.6,3.7,1.6,2.7,0.5,14.1
1951,21616,14101,5674,8648,1578,51616,41.9,27.3,11,16.8,3.1,100,6.6,4.3,1.7,2.6,0.5,15.8
1952,27934,21226,6445,8852,1710,66167,42.2,32.1,9.7,13.4,2.6,100,7.8,5.9,1.8,2.5,0.5,18.5
1953,29816,21238,6820,9877,1857,69608,42.8,30.5,9.8,14.2,2.7,100,7.8,5.6,1.8,2.6,0.5,18.2
1954,29542,21101,7208,9945,1905,69701,42.4,30.3,10.3,14.3,2.7,100,7.6,5.4,1.9,2.6,0.5,18
1955,28747,17861,7862,9131,1850,65451,43.9,27.3,12,14,2.8,100,7.1,4.4,1.9,2.2,0.5,16.1
1956,32188,20880,9320,9929,2270,74587,43.2,28,12.5,13.3,3,100,7.3,4.8,2.1,2.3,0.5,17
1957,35620,21167,9997,10534,2672,79990,44.5,26.5,12.5,13.2,3.3,100,7.7,4.6,2.2,2.3,0.6,17.2
1958,34724,20074,11239,10638,2961,79636,43.6,25.2,14.1,13.4,3.7,100,7.3,4.2,2.4,2.2,0.6,16.8
1959,36719,17309,11722,10578,2921,79249,46.3,21.8,14.8,13.3,3.7,100,7.3,3.4,2.3,2.1,0.6,15.7
1960,40715,21494,14683,11676,3923,92492,44,23.2,15.9,12.6,4.2,100,7.6,4,2.7,2.2,0.7,17.3
1961,41338,20954,16439,11860,3796,94388,43.8,22.2,17.4,12.6,4,100,7.5,3.8,3,2.2,0.7,17.2
1962,45571,20523,17046,12534,4001,99676,45.7,20.6,17.1,12.6,4,100,7.8,3.5,2.9,2.1,0.7,17
1963,47588,21579,19804,13194,4395,106560,44.7,20.3,18.6,12.4,4.1,100,7.7,3.5,3.2,2.1,0.7,17.2
1964,48697,23493,21963,13731,4731,112613,43.2,20.9,19.5,12.2,4.2,100,7.3,3.5,3.3,2.1,0.7,17
1965,48792,25461,22242,14570,5753,116817,41.8,21.8,19,12.5,4.9,100,6.9,3.6,3.1,2.1,0.8,16.4
1966,55446,30073,25546,13062,6708,130835,42.4,23,19.5,10,5.1,100,7.1,3.8,3.3,1.7,0.9,16.7
1967,61526,33971,32619,13719,6987,148822,41.3,22.8,21.9,9.2,4.7,100,7.3,4.1,3.9,1.6,0.8,17.8
1968,68726,28665,33923,14079,7580,152973,44.9,18.7,22.2,9.2,5,100,7.6,3.2,3.8,1.6,0.8,17
1969,87249,36678,39015,15222,8718,186882,46.7,19.6,20.9,8.1,4.7,100,8.9,3.7,4,1.5,0.9,19
1970,90412,32829,44362,15705,9499,192807,46.9,17,23,8.1,4.9,100,8.6,3.1,4.2,1.5,0.9,18.4
1971,86230,26785,47325,16614,10185,187139,46.1,14.3,25.3,8.9,5.4,100,7.7,2.4,4.2,1.5,0.9,16.7
1972,94737,32166,52574,15477,12355,207309,45.7,15.5,25.4,7.5,6,100,7.8,2.6,4.3,1.3,1,17
1973,103246,36153,63115,16260,12026,230799,44.7,15.7,27.3,7,5.2,100,7.6,2.7,4.7,1.2,0.9,17
1974,118952,38620,75071,16844,13737,263224,45.2,14.7,28.5,6.4,5.2,100,8,2.6,5.1,1.1,0.9,17.7
1975,122386,40621,84534,16551,14998,279090,43.9,14.6,30.3,5.9,5.4,100,7.6,2.5,5.2,1,0.9,17.3
1976,131603,41409,90769,16963,17317,298060,44.2,13.9,30.5,5.7,5.8,100,7.4,2.3,5.1,0.9,1,16.6
1977,157626,54892,106485,17548,19008,355559,44.3,15.4,29.9,4.9,5.3,100,7.8,2.7,5.2,0.9,0.9,17.5
1978,180988,59952,120967,18376,19278,399561,45.3,15,30.3,4.6,4.8,100,7.9,2.6,5.3,0.8,0.8,17.5
1979,217841,65677,138939,18745,22101,463302,47,14.2,30,4,4.8,100,8.5,2.6,5.4,0.7,0.9,18
