"Year","GDP","GDP_deflator","GDP_2009","Receipts","Outlays","Surplus","Receipts_2009","Outlays_2009","Surplus_2009","deflator","receipts_pct","outlays_pct","surplus_pct","gdp_return","outlays_return"
1940,98200,0.0809,1213844.25216316,6548,9468,-2920,94000,135800,-41900,0.0697,6.7,9.6,-3,0,0
1941,116200,0.084,1383333.33333333,8712,13653,-4941,113300,177500,-64300,0.0769,7.5,11.7,-4.3,14,30.7
1942,147700,0.0902,1637472.28381375,14634,35137,-20503,167800,402900,-235100,0.0872,9.9,23.8,-13.9,18.4,127
1943,184600,0.0961,1920915.71279917,24001,78555,-54554,249000,814900,-565900,0.0964,13,42.6,-29.6,17.3,102.3
1944,213800,0.0995,2148743.71859296,43747,91304,-47557,493200,1029400,-536200,0.0887,20.5,42.7,-22.2,11.9,26.3
1945,226400,0.1019,2221786.06476938,45159,92712,-47553,541500,1111700,-570200,0.0834,19.9,41,-21,3.4,8
1946,228000,0.1097,2078395.62443026,39296,55232,-15936,466700,656000,-189300,0.0842,17.2,24.2,-7,-6.5,-41
1947,238900,0.1216,1964638.15789474,38514,34496,4018,402900,360800,42000,0.0956,16.1,14.4,1.7,-5.5,-45
1948,262400,0.1331,1971450.03756574,41560,29764,11796,418100,299400,118700,0.0994,15.8,11.3,4.5,0.3,-17
1949,276800,0.1375,2013090.90909091,39415,38835,580,411400,405400,6100,0.0958,14.2,14,0.2,2.1,35.4
1950,279000,0.1355,2059040.5904059,39443,42562,-3119,392500,423500,-31000,0.1005,14.1,15.3,-1.1,2.3,4.5
1951,327400,0.1428,2292717.08683473,51616,45514,6102,511600,451100,60500,0.1009,15.8,13.9,1.9,11.3,6.5
1952,357500,0.1485,2407407.40740741,66167,67686,-1519,657700,672800,-15100,0.1006,18.5,18.9,-0.4,5,49.1
1953,382500,0.1512,2529761.9047619,69608,76101,-6493,644500,704600,-60100,0.108,18.2,19.9,-1.7,5.1,4.7
1954,387700,0.153,2533986.92810458,69701,70855,-1154,626800,637200,-10400,0.1112,18,18.3,-0.3,0.2,-9.6
1955,407000,0.1542,2639429.31258106,65451,68444,-2993,568600,594600,-26000,0.1151,16.1,16.8,-0.7,4.2,-6.7
1956,439000,0.1582,2774968.39443742,74587,70640,3947,620500,587700,32800,0.1202,17,16.1,0.9,5.1,-1.2
1957,464200,0.1641,2828762.94942108,79990,76578,3412,634300,607300,27100,0.1261,17.2,16.5,0.7,1.9,3.3
1958,474300,0.1691,2804849.20165583,79636,82405,-2769,596500,617300,-20700,0.1335,16.8,17.4,-0.6,-0.8,1.6
1959,505600,0.1717,2944670.937682,79249,92098,-12849,569700,662100,-92400,0.1391,15.7,18.2,-2.5,5,7.3
1960,535100,0.1741,3073520.96496266,92492,92191,301,655500,653400,2100,0.1411,17.3,17.2,0.1,4.4,-1.3
1961,547600,0.1765,3102549.57507082,94388,97723,-3335,654100,677200,-23100,0.1443,17.2,17.8,-0.6,0.9,3.6
1962,586900,0.1783,3291643.29781268,99676,106821,-7146,689800,739200,-49500,0.1445,17,18.2,-1.2,6.1,9.2
1963,619300,0.1805,3431024.93074792,106560,111316,-4756,707100,738700,-31600,0.1507,17.2,18,-0.8,4.2,-0.1
1964,662900,0.1827,3628352.49042146,112613,118528,-5915,735600,774200,-38600,0.1531,17,17.9,-0.9,5.8,4.8
1965,710700,0.1859,3823023.13071544,116817,118228,-1411,752200,761300,-9100,0.1553,16.4,16.6,-0.2,5.4,-1.7
1966,781900,0.1899,4117430.22643497,130835,134532,-3698,819800,842900,-23200,0.1596,16.7,17.2,-0.5,7.7,10.7
1967,838200,0.1957,4283086.35666837,148822,157464,-8643,911900,964900,-53000,0.1632,17.8,18.8,-1,4,14.5
1968,899300,0.2024,4443181.81818182,152973,178134,-25161,904600,1053400,-148800,0.1691,17,19.8,-2.8,3.7,9.2
1969,982300,0.2117,4640056.68398677,186882,183640,3242,1039400,1021400,18000,0.1798,19,18.7,0.3,4.4,-3
1970,1049100,0.2231,4702375.61631555,192807,195649,-2842,1015300,1030300,-15000,0.1899,18.4,18.6,-0.3,1.3,0.9
1971,1119300,0.2344,4775170.64846416,187139,210172,-23033,921900,1035300,-113500,0.203,16.7,18.8,-2.1,1.5,0.5
1972,1219500,0.2455,4967413.44195519,207309,230681,-23373,957500,1065500,-108000,0.2165,17,18.9,-1.9,4,2.9
1973,1356000,0.2562,5292740.04683841,230799,245707,-14908,1018500,1084300,-65800,0.2266,17,18.1,-1.1,6.5,1.8
1974,1486200,0.2743,5418155.30441123,263224,269359,-6135,1072600,1097600,-25000,0.2454,17.7,18.1,-0.4,2.4,1.2
1975,1610600,0.3027,5320779.6498183,279090,332332,-53242,1035600,1233100,-197600,0.2695,17.3,20.6,-3.3,-1.8,12.3
1976,1790300,0.3237,5530738.33796725,298060,371792,-73732,1032100,1287400,-255300,0.2888,16.6,20.8,-4.1,3.9,4.4
1977,2028400,0.347,5845533.14121038,355559,409218,-53659,1147700,1320900,-173200,0.3098,17.5,20.2,-2.6,5.7,2.6
1978,2278200,0.3703,6152308.93869835,399561,458746,-59185,1213700,1393500,-179800,0.3292,17.5,20.1,-2.6,5.2,5.5
1979,2570000,0.4001,6423394.15146213,463302,504028,-40726,1295600,1409500,-113900,0.3576,18,19.6,-1.6,4.4,1.1
1980,2796800,0.4349,6430903.65601288,517112,590941,-73830,1308800,1495700,-186900,0.3951,18.5,21.1,-2.6,0.1,6.1
1981,3138400,0.4775,6572565.44502618,599272,678241,-78968,1364800,1544600,-179800,0.4391,19.1,21.6,-2.5,2.2,3.3
1982,3313900,0.5103,6494023.12365275,617766,745743,-127977,1308500,1579600,-271100,0.4721,18.6,22.5,-3.9,-1.2,2.3
1983,3541100,0.5327,6647456.35442088,600562,808364,-207802,1211500,1630800,-419200,0.4957,17,22.8,-5.9,2.4,3.2
1984,3952800,0.5515,7167361.74070716,666438,851805,-185367,1285600,1643100,-357600,0.5184,16.9,21.5,-4.7,7.8,0.8
1985,4270400,0.5698,7494559.49455949,734037,946344,-212308,1366400,1761600,-395200,0.5372,17.2,22.2,-5,4.6,7.2
1986,4536100,0.5828,7783287.57721345,769155,990382,-221227,1402000,1805300,-403300,0.5486,17,21.8,-4.9,3.9,2.5
1987,4781900,0.5958,8026015.4414233,854287,1004017,-149730,1513900,1779200,-265300,0.5643,17.9,21,-3.1,3.1,-1.4
1988,5155100,0.6151,8380913.67257357,909238,1064416,-155178,1558200,1824200,-265900,0.5835,17.6,20.6,-3,4.4,2.5
1989,5570000,0.6396,8708567.85490932,991104,1143743,-152639,1636000,1888000,-252000,0.6058,17.8,20.5,-2.7,3.9,3.5
1990,5914600,0.6627,8925003.77244605,1031958,1252993,-221036,1654600,2009000,-354400,0.6237,17.4,21.2,-3.7,2.5,6.4
1991,6110100,0.6862,8904255.31914894,1054988,1324226,-269238,1616600,2029200,-412600,0.6526,17.3,21.7,-4.4,-0.2,1
1992,6434700,0.703,9153200.56899004,1091208,1381529,-290321,1611600,2040400,-428800,0.6771,17,21.5,-4.5,2.8,0.6
1993,6794900,0.7197,9441294.98402112,1154334,1409386,-255051,1655700,2021500,-365800,0.6972,17,20.7,-3.8,3.1,-0.9
1994,7197800,0.7354,9787598.58580364,1258566,1461752,-203186,1772600,2058800,-286200,0.71,17.5,20.3,-2.8,3.7,1.8
1995,7583400,0.751,10097736.3515313,1351790,1515742,-163952,1850200,2074700,-224400,0.7306,17.8,20,-2.2,3.2,0.8
1996,7978300,0.765,10429150.3267974,1453053,1560484,-107431,1948100,2092100,-144000,0.7459,18.2,19.6,-1.3,3.3,0.8
1997,8483200,0.7785,10896852.9222864,1579232,1601116,-21884,2074700,2103400,-28700,0.7612,18.6,18.9,-0.3,4.5,0.5
1998,8954800,0.7881,11362517.4470245,1721728,1652458,69270,2242100,2151900,90200,0.7679,19.2,18.5,0.8,4.3,2.3
1999,9510500,0.7981,11916426.5129683,1827452,1701842,125610,2349800,2188300,161500,0.7777,19.2,17.9,1.3,4.9,1.7
2000,10148200,0.8147,12456364.3058795,2025191,1788950,236241,2541000,2244600,296400,0.797,20,17.6,2.3,4.5,2.6
2001,10564600,0.8342,12664349.07696,1991082,1862846,128236,2433200,2276500,156700,0.8183,18.8,17.6,1.2,1.7,1.4
2002,10876900,0.8477,12831072.3133184,1853136,2010894,-157758,2227600,2417200,-189600,0.8319,17,18.5,-1.5,1.3,6.2
2003,11332400,0.8639,13117721.95856,1782314,2159899,-377585,2083600,2525000,-441400,0.8554,15.7,19.1,-3.3,2.2,4.5
2004,12088600,0.8853,13654806.2803569,1880114,2292841,-412727,2141800,2612000,-470200,0.8778,15.6,19,-3.4,4.1,3.4
2005,12888900,0.9131,14115540.4665425,2153611,2471957,-318346,2371600,2722100,-350600,0.9081,16.7,19.2,-2.5,3.4,4.2
2006,13684700,0.9428,14514955.4518456,2406869,2655050,-248181,2561900,2826000,-264200,0.9395,17.6,19.4,-1.8,2.8,3.8
2007,14322900,0.9684,14790272.6146221,2567985,2728686,-160701,2663100,2829700,-166700,0.9643,17.9,19.1,-1.1,1.9,0.1
2008,14752400,0.9885,14924026.3024785,2523991,2982544,-458553,2529000,2988500,-459500,0.998,17.1,20.2,-3.1,0.9,5.6
2009,14414600,1,14414600,2104989,3517677,-1412688,2105000,3517700,-1412700,1,14.6,24.4,-9.8,-3.4,17.7
2010,14798500,1.0088,14669409.1990484,2162706,3457079,-1294373,2129300,3403600,-1274400,1.0157,14.6,23.4,-8.7,1.8,-3.2
2011,15379200,1.0293,14941416.4966482,2303466,3603056,-1299590,2215900,3466100,-1250200,1.0395,15,23.4,-8.5,1.9,1.8
2012,16027200,1.0481,15291670.6421143,2449988,3536951,-1086963,2310700,3335800,-1025100,1.0603,15.3,22.1,-6.8,2.3,-3.8
2013,16498100,1.0661,15475189.9446581,2775103,3454647,-679544,2583400,3216000,-632600,1.0742,16.8,20.9,-4.1,1.2,-3.6
2014,17183500,1.0843,15847551.4156599,3021487,3506114,-484627,2771500,3216000,-444500,1.0902,17.6,20.4,-2.8,2.4,0
2015,17803400,1.099,16199636.0327571,3249886,3688292,-438406,2939500,3336000,-396500,1.1056,18.3,20.7,-2.5,2.2,3.7
