Year,Lowest,Highest,corporate,Receipts,Receipts_2009,Receipts_pct_gdp,Receipts_Ind_pct_gdp,Receipts_corp_pct_gdp
1940,4,79,38,6548,94000,6.7,0.9,1.2
1941,10,81,44,8712,113300,7.5,1.1,1.8
1942,19,88,53,14634,167800,9.9,2.2,3.2
1943,19,88,53,24001,249000,13,3.5,5.2
1944,23,94,53,43747,493200,20.5,9.2,6.9
1945,23,94,53,45159,541500,19.9,8.1,7.1
1946,20,91,53,39296,466700,17.2,7.1,5.2
1947,20,91,53,38514,402900,16.1,7.5,3.6
1948,20,91,53,41560,418100,15.8,7.4,3.7
1949,20,91,53,39415,411400,14.2,5.6,4.0
1950,20,91,42,39443,392500,14.1,5.6,3.7
1951,20.4,91,50.75,51616,511600,15.8,6.6,4.3
1952,22.2,92,52,66167,657700,18.5,7.8,5.9
1953,22.2,92,52,69608,644500,18.2,7.8,5.6
1954,20,91,52,69701,626800,18,7.6,5.4
1955,20,91,52,65451,568600,16.1,7.1,4.4
1956,20,91,52,74587,620500,17,7.3,4.8
1957,20,91,52,79990,634300,17.2,7.7,4.6
1958,20,91,52,79636,596500,16.8,7.3,4.2
1959,20,91,52,79249,569700,15.7,7.3,3.4
1960,20,91,52,92492,655500,17.3,7.6,4.0
1961,20,91,52,94388,654100,17.2,7.5,3.8
1962,20,91,52,99676,689800,17,7.8,3.5
1963,20,91,52,106560,707100,17.2,7.7,3.5
1964,16,77,50,112613,735600,17,7.3,3.5
1965,14,70,48,116817,752200,16.4,6.9,3.6
1966,14,70,48,130835,819800,16.7,7.1,3.8
1967,14,70,48,148822,911900,17.8,7.3,4.1
1968,14,70,52.8,152973,904600,17,7.6,3.2
1969,14,70,52.8,186882,1039400,19,8.9,3.7
1970,14,70,49.2,192807,1015300,18.4,8.6,3.1
1971,14,70,48,187139,921900,16.7,7.7,2.4
1972,14,70,48,207309,957500,17,7.8,2.6
1973,14,70,48,230799,1018500,17,7.6,2.7
1974,14,70,48,263224,1072600,17.7,8.0,2.6
1975,14,70,48,279090,1035600,17.3,7.6,2.5
1976,14,70,48,298060,1032100,16.6,7.4,2.3
1977,0,70,48,355559,1147700,17.5,7.8,2.7
1978,0,70,48,399561,1213700,17.5,7.9,2.6
1979,0,70,46,463302,1295600,18,8.5,2.6
1980,0,70,46,517112,1308800,18.5,8.7,2.3
1981,0,70,46,599272,1364800,19.1,9.1,1.9
1982,0,50,46,617766,1308500,18.6,9.0,1.5
1983,0,50,46,600562,1211500,17,8.2,1.0
1984,0,50,46,666438,1285600,16.9,7.5,1.4
1985,0,50,46,734037,1366400,17.2,7.8,1.4
1986,0,50,46,769155,1402000,17,7.7,1.4
1987,11,38.5,39,854287,1513900,17.9,8.2,1.8
1988,15,28,39,909238,1558200,17.6,7.8,1.8
1989,15,28,39,991104,1636000,17.8,8.0,1.9
1990,15,28,39,1031958,1654600,17.4,7.9,1.6
1991,15,31,39,1054988,1616600,17.3,7.7,1.6
1992,15,31,39,1091208,1611600,17,7.4,1.6
1993,15,39.6,39,1154334,1655700,17,7.5,1.7
1994,15,39.6,39,1258566,1772600,17.5,7.5,2.0
1995,15,39.6,39,1351790,1850200,17.8,7.8,2.1
1996,15,39.6,39,1453053,1948100,18.2,8.2,2.2
1997,15,39.6,39,1579232,2074700,18.6,8.7,2.1
1998,15,39.6,39,1721728,2242100,19.2,9.3,2.1
1999,15,39.6,39,1827452,2349800,19.2,9.2,1.9
2000,15,39.6,39,2025191,2541000,20,9.9,2.0
2001,15,39.1,39,1991082,2433200,18.8,9.4,1.4
2002,10,38.6,39,1853136,2227600,17,7.9,1.4
2003,10,35,39,1782314,2083600,15.7,7.0,1.2
2004,10,35,39,1880114,2141800,15.6,6.7,1.6
2005,10,35,39,2153611,2371600,16.7,7.2,2.2
2006,10,35,39,2406869,2561900,17.6,7.6,2.6
2007,10,35,39,2567985,2663100,17.9,8.1,2.6
2008,10,35,39,2523991,2529000,17.1,7.8,2.1
2009,10,35,39,2104989,2105000,14.6,6.3,1.0
2010,10,35,39,2162706,2129300,14.6,6.1,1.3
2011,10,35,39,2303466,2215900,15,7.1,1.2
2012,10,35,39,2449988,2310700,15.3,7.1,1.5
2013,10,39.6,39,2775103,2583400,16.8,8.0,1.7
2014,10,39.6,39,3021487,2771500,17.6,8.1,1.9
2015,10,39.6,39,3249886,2939500,18.3,8.7,1.9
